phenotype_names,CTQ_Term,Sex,Region,Effect_Size_Main_Ped,P_Main_Ped,Q_Main_Ped,Significant_Main_Ped,Effect_Size_Cov_Ped,P_Cov_Ped,Q_Cov_Ped,Significant_Cov_Ped,Sample_Size_Ped,Effect_Size_Main_YA,P_Main_YA,Q_Main_YA,Significant_Main_YA,Effect_Size_Cov_YA,P_Cov_YA,Q_Cov_YA,Significant_Cov_YA,Sample_Size_YA,Effect_Size_Main_OA,P_Main_OA,Q_Main_OA,Significant_Main_OA,Effect_Size_Cov_OA,P_Cov_OA,Q_Cov_OA,Significant_Cov_OA,Sample_Size_OA
cortical_thickness,CTQ_Abuse,female,L_parahippocampal_thickavg,0.004 (0.08),9.65E-01,9.91E-01,No,-0.178 (0.165),2.81E-01,3.90E-01,No,189,-0.033 (0.034),3.23E-01,4.88E-01,No,-0.008 (0.071),9.12E-01,9.26E-01,No,1163,-0.1 (0.037),7.60E-03,6.46E-02,No,0.233 (0.075) *,1.99E-03,6.85E-03,Yes,864
cortical_thickness,CTQ_Abuse,female,L_paracentral_thickavg,0.063 (0.08),4.29E-01,9.80E-01,No,-0.161 (0.165),3.29E-01,4.30E-01,No,189,0.027 (0.034),4.17E-01,5.53E-01,No,0.077 (0.071),2.79E-01,4.39E-01,No,1163,0.022 (0.038),5.59E-01,7.92E-01,No,-0.02 (0.076),7.94E-01,8.06E-01,No,864
cortical_thickness,CTQ_Abuse,female,L_parsopercularis_thickavg,-0.039 (0.079),6.25E-01,9.80E-01,No,-0.236 (0.164),1.51E-01,2.39E-01,No,189,0.023 (0.034),4.93E-01,5.92E-01,No,-0.139 (0.071),5.04E-02,1.52E-01,No,1163,0.049 (0.037),1.92E-01,4.22E-01,No,-0.239 (0.075) *,1.57E-03,5.95E-03,Yes,864
cortical_thickness,CTQ_Abuse,female,L_parsorbitalis_thickavg,0.106 (0.079),1.82E-01,8.73E-01,No,-0.378 (0.163),2.12E-02,7.27E-02,No,189,-0.024 (0.034),4.73E-01,5.85E-01,No,-0.046 (0.071),5.16E-01,6.16E-01,No,1163,0.076 (0.038),4.21E-02,1.50E-01,No,0.012 (0.076),8.72E-01,8.72E-01,No,864
cortical_thickness,CTQ_Abuse,female,L_parstriangularis_thickavg,-0.041 (0.079),6.09E-01,9.80E-01,No,-0.273 (0.163),9.60E-02,1.87E-01,No,189,0.086 (0.033) *,9.83E-03,3.52E-02,Yes,-0.227 (0.071) *,1.44E-03,9.82E-03,Yes,1163,0.09 (0.037),1.70E-02,8.87E-02,No,-0.185 (0.075) *,1.43E-02,3.23E-02,Yes,864
cortical_thickness,CTQ_Abuse,female,L_pericalcarine_thickavg,0.008 (0.079),9.22E-01,9.80E-01,No,0.249 (0.164),1.31E-01,2.24E-01,No,189,0.048 (0.033),1.55E-01,2.85E-01,No,-0.193 (0.071) *,6.79E-03,3.30E-02,Yes,1163,0.015 (0.037),6.85E-01,8.32E-01,No,-0.311 (0.075) *,3.59E-05,3.58E-04,Yes,864
cortical_thickness,CTQ_Abuse,female,L_postcentral_thickavg,-0.114 (0.08),1.53E-01,8.73E-01,No,-0.01 (0.164),9.51E-01,9.75E-01,No,189,-0.048 (0.034),1.51E-01,2.85E-01,No,0.068 (0.071),3.37E-01,4.77E-01,No,1163,0.053 (0.038),1.57E-01,3.55E-01,No,-0.127 (0.076),9.35E-02,1.51E-01,No,864
cortical_thickness,CTQ_Abuse,female,L_posteriorcingulate_thickavg,-0.139 (0.077),7.36E-02,8.34E-01,No,0.617 (0.159) *,1.45E-04,1.98E-03,Yes,189,-0.164 (0.033) *,9.89E-07,6.73E-05,Yes,0.173 (0.071),1.41E-02,5.64E-02,No,1163,-0.158 (0.037) *,2.24E-05,1.53E-03,Yes,-0.036 (0.075),6.34E-01,6.84E-01,No,864
cortical_thickness,CTQ_Abuse,female,L_precentral_thickavg,-0.076 (0.079),3.35E-01,9.53E-01,No,-0.241 (0.163),1.41E-01,2.31E-01,No,189,-0.041 (0.034),2.18E-01,3.57E-01,No,0.116 (0.071),1.02E-01,2.47E-01,No,1163,-0.036 (0.038),3.45E-01,6.15E-01,No,0.127 (0.076),9.24E-02,1.51E-01,No,864
cortical_thickness,CTQ_Abuse,female,L_precuneus_thickavg,0.055 (0.079),4.86E-01,9.80E-01,No,-0.27 (0.164),1.02E-01,1.92E-01,No,189,0.019 (0.034),5.64E-01,5.99E-01,No,-0.069 (0.071),3.32E-01,4.77E-01,No,1163,-0.034 (0.038),3.62E-01,6.15E-01,No,-0.129 (0.076),8.75E-02,1.49E-01,No,864
cortical_thickness,CTQ_Abuse,female,L_rostralanteriorcingulate_thickavg,0.018 (0.077),8.18E-01,9.80E-01,No,0.564 (0.159) *,4.79E-04,3.62E-03,Yes,189,-0.097 (0.033) *,3.66E-03,1.72E-02,Yes,0.138 (0.071),5.28E-02,1.52E-01,No,1163,-0.025 (0.038),5.07E-01,7.81E-01,No,0.082 (0.076),2.80E-01,4.04E-01,No,864
cortical_thickness,CTQ_Abuse,female,L_rostralmiddlefrontal_thickavg,-0.085 (0.08),2.86E-01,9.26E-01,No,0.128 (0.165),4.38E-01,5.23E-01,No,189,0.069 (0.034),4.05E-02,9.93E-02,No,-0.082 (0.071),2.49E-01,4.13E-01,No,1163,0.055 (0.037),1.42E-01,3.55E-01,No,-0.321 (0.075) *,2.04E-05,3.43E-04,Yes,864
cortical_thickness,CTQ_Abuse,female,L_superiorfrontal_thickavg,0.192 (0.078),1.49E-02,3.38E-01,No,-0.405 (0.162),1.29E-02,5.18E-02,No,189,0.097 (0.033) *,3.81E-03,1.72E-02,Yes,-0.151 (0.071),3.38E-02,1.10E-01,No,1163,-0.004 (0.038),9.17E-01,9.51E-01,No,-0.048 (0.076),5.27E-01,6.32E-01,No,864
cortical_thickness,CTQ_Abuse,female,L_superiorparietal_thickavg,0.049 (0.08),5.41E-01,9.80E-01,No,-0.14 (0.165),3.97E-01,4.83E-01,No,189,0.021 (0.034),5.37E-01,5.92E-01,No,0.002 (0.071),9.75E-01,9.75E-01,No,1163,0.012 (0.038),7.49E-01,8.84E-01,No,-0.137 (0.076),7.08E-02,1.27E-01,No,864
cortical_thickness,CTQ_Abuse,female,L_superiortemporal_thickavg,0.047 (0.08),5.55E-01,9.80E-01,No,-0.194 (0.165),2.39E-01,3.46E-01,No,189,0.062 (0.033),6.35E-02,1.39E-01,No,0.064 (0.071),3.70E-01,5.03E-01,No,1163,-0.04 (0.037),2.90E-01,5.57E-01,No,0.248 (0.075) *,1.03E-03,5.00E-03,Yes,864
cortical_thickness,CTQ_Abuse,female,L_supramargil_thickavg,-0.012 (0.077),8.78E-01,9.80E-01,No,-0.554 (0.159) *,6.16E-04,3.91E-03,Yes,189,-0.022 (0.034),5.12E-01,5.92E-01,No,0.051 (0.071),4.70E-01,5.82E-01,No,1163,-0.075 (0.037),4.42E-02,1.50E-01,No,-0.1 (0.075),1.85E-01,2.79E-01,No,864
cortical_thickness,CTQ_Abuse,female,L_frontalpole_thickavg,-0.035 (0.077),6.46E-01,9.80E-01,No,0.627 (0.158) *,1.04E-04,1.98E-03,Yes,189,0.024 (0.034),4.73E-01,5.85E-01,No,0.021 (0.071),7.68E-01,8.04E-01,No,1163,0.001 (0.038),9.82E-01,9.82E-01,No,-0.17 (0.076),2.45E-02,5.05E-02,No,864
cortical_thickness,CTQ_Abuse,female,L_temporalpole_thickavg,0.028 (0.079),7.25E-01,9.80E-01,No,0.256 (0.164),1.19E-01,2.19E-01,No,189,-0.021 (0.034),5.26E-01,5.92E-01,No,0.114 (0.071),1.09E-01,2.47E-01,No,1163,-0.004 (0.037),9.21E-01,9.51E-01,No,0.24 (0.075) *,1.48E-03,5.91E-03,Yes,864
cortical_thickness,CTQ_Abuse,female,L_transversetemporal_thickavg,0.212 (0.078),7.38E-03,3.38E-01,No,-0.36 (0.161),2.70E-02,7.98E-02,No,189,0.096 (0.033) *,3.99E-03,1.72E-02,Yes,-0.228 (0.071) *,1.36E-03,9.82E-03,Yes,1163,0.035 (0.038),3.49E-01,6.15E-01,No,-0.13 (0.076),8.71E-02,1.49E-01,No,864
cortical_thickness,CTQ_Abuse,female,L_insula_thickavg,0.016 (0.079),8.42E-01,9.80E-01,No,0.357 (0.163),2.91E-02,8.09E-02,No,189,-0.098 (0.033) *,3.45E-03,1.72E-02,Yes,0.066 (0.071),3.51E-01,4.87E-01,No,1163,-0.029 (0.037),4.47E-01,7.07E-01,No,0.205 (0.075) *,6.63E-03,1.80E-02,Yes,864
cortical_thickness,CTQ_Abuse,female,R_bankssts_thickavg,0.01 (0.08),9.00E-01,9.80E-01,No,-0.124 (0.165),4.53E-01,5.31E-01,No,189,-0.057 (0.034),8.98E-02,1.85E-01,No,0.08 (0.071),2.62E-01,4.25E-01,No,1163,-0.097 (0.037),9.97E-03,6.97E-02,No,0.137 (0.075),7.01E-02,1.27E-01,No,864
cortical_thickness,CTQ_Abuse,female,R_caudalanteriorcingulate_thickavg,0.012 (0.079),8.79E-01,9.80E-01,No,0.302 (0.163),6.60E-02,1.58E-01,No,189,-0.1 (0.033) *,2.85E-03,1.72E-02,Yes,0.042 (0.071),5.56E-01,6.51E-01,No,1163,-0.045 (0.038),2.31E-01,4.76E-01,No,0.049 (0.076),5.14E-01,6.32E-01,No,864
cortical_thickness,CTQ_Abuse,female,R_caudalmiddlefrontal_thickavg,0.074 (0.078),3.43E-01,9.53E-01,No,-0.55 (0.16) *,7.36E-04,4.17E-03,Yes,189,-0.025 (0.034),4.62E-01,5.85E-01,No,-0.083 (0.071),2.46E-01,4.13E-01,No,1163,-0.065 (0.037),8.04E-02,2.28E-01,No,-0.195 (0.075) *,9.43E-03,2.29E-02,Yes,864
cortical_thickness,CTQ_Abuse,female,R_cuneus_thickavg,-0.012 (0.078),8.83E-01,9.80E-01,No,0.445 (0.162) *,6.48E-03,2.94E-02,Yes,189,-0.008 (0.034),8.13E-01,8.13E-01,No,-0.06 (0.071),3.98E-01,5.21E-01,No,1163,0.041 (0.037),2.77E-01,5.55E-01,No,-0.224 (0.075) *,3.06E-03,9.00E-03,Yes,864
cortical_thickness,CTQ_Abuse,female,R_entorhil_thickavg,0.052 (0.08),5.14E-01,9.80E-01,No,0.036 (0.165),8.28E-01,9.01E-01,No,189,-0.13 (0.033) *,1.06E-04,1.45E-03,Yes,0.068 (0.071),3.34E-01,4.77E-01,No,1163,-0.092 (0.037),1.43E-02,8.13E-02,No,0.18 (0.075) *,1.71E-02,3.76E-02,Yes,864
cortical_thickness,CTQ_Abuse,female,R_fusiform_thickavg,0.076 (0.079),3.39E-01,9.53E-01,No,0.166 (0.164),3.13E-01,4.18E-01,No,189,0.041 (0.034),2.26E-01,3.57E-01,No,0.037 (0.071),6.08E-01,6.89E-01,No,1163,-0.008 (0.037),8.25E-01,9.19E-01,No,0.241 (0.075) *,1.44E-03,5.91E-03,Yes,864
cortical_thickness,CTQ_Abuse,female,R_inferiorparietal_thickavg,-0.122 (0.079),1.26E-01,8.73E-01,No,0.292 (0.164),7.61E-02,1.72E-01,No,189,-0.07 (0.033),3.53E-02,9.24E-02,No,0.254 (0.071) *,3.60E-04,6.12E-03,Yes,1163,-0.018 (0.037),6.26E-01,7.97E-01,No,0.232 (0.075) *,2.17E-03,7.03E-03,Yes,864
cortical_thickness,CTQ_Abuse,female,R_inferiortemporal_thickavg,-0.046 (0.079),5.64E-01,9.80E-01,No,0.311 (0.164),5.93E-02,1.49E-01,No,189,-0.027 (0.034),4.23E-01,5.53E-01,No,0.115 (0.071),1.06E-01,2.47E-01,No,1163,0.003 (0.037),9.37E-01,9.51E-01,No,0.332 (0.075) *,1.01E-05,3.42E-04,Yes,864
cortical_thickness,CTQ_Abuse,female,R_isthmuscingulate_thickavg,-0.089 (0.079),2.62E-01,8.91E-01,No,0.32 (0.164),5.21E-02,1.36E-01,No,189,-0.11 (0.033) *,9.95E-04,8.45E-03,Yes,0.229 (0.071) *,1.27E-03,9.82E-03,Yes,1163,-0.096 (0.037),1.02E-02,6.97E-02,No,0.026 (0.075),7.34E-01,7.79E-01,No,864
cortical_thickness,CTQ_Abuse,female,R_lateraloccipital_thickavg,-0.028 (0.078),7.17E-01,9.80E-01,No,0.459 (0.162) *,5.02E-03,2.44E-02,Yes,189,-0.096 (0.033) *,4.04E-03,1.72E-02,Yes,0.208 (0.071) *,3.48E-03,1.82E-02,Yes,1163,-0.02 (0.037),5.97E-01,7.95E-01,No,0.318 (0.075) *,2.37E-05,3.43E-04,Yes,864
cortical_thickness,CTQ_Abuse,female,R_lateralorbitofrontal_thickavg,-0.006 (0.079),9.37E-01,9.80E-01,No,0.287 (0.164),8.11E-02,1.72E-01,No,189,0.021 (0.034),5.40E-01,5.92E-01,No,-0.025 (0.071),7.30E-01,8.00E-01,No,1163,0.053 (0.038),1.56E-01,3.55E-01,No,-0.041 (0.076),5.88E-01,6.58E-01,No,864
cortical_thickness,CTQ_Abuse,female,R_lingual_thickavg,0.027 (0.08),7.32E-01,9.80E-01,No,0.074 (0.165),6.53E-01,7.40E-01,No,189,0.043 (0.033),1.92E-01,3.36E-01,No,-0.286 (0.071) *,5.58E-05,1.90E-03,Yes,1163,-0.019 (0.037),6.15E-01,7.97E-01,No,-0.317 (0.075) *,2.52E-05,3.43E-04,Yes,864
cortical_thickness,CTQ_Abuse,female,R_medialorbitofrontal_thickavg,-0.113 (0.077),1.43E-01,8.73E-01,No,0.656 (0.158) *,5.07E-05,1.72E-03,Yes,189,0.107 (0.033) *,1.47E-03,1.11E-02,Yes,-0.085 (0.071),2.31E-01,4.13E-01,No,1163,0.138 (0.037) *,2.26E-04,4.38E-03,Yes,-0.162 (0.075),3.14E-02,6.09E-02,No,864
cortical_thickness,CTQ_Abuse,female,R_middletemporal_thickavg,-0.056 (0.079),4.82E-01,9.80E-01,No,-0.247 (0.163),1.32E-01,2.24E-01,No,189,-0.143 (0.033) *,1.80E-05,3.06E-04,Yes,0.19 (0.071) *,7.38E-03,3.32E-02,Yes,1163,-0.081 (0.037),3.10E-02,1.23E-01,No,0.271 (0.075) *,3.29E-04,1.86E-03,Yes,864
cortical_thickness,CTQ_Abuse,female,R_parahippocampal_thickavg,0.037 (0.08),6.48E-01,9.80E-01,No,-0.17 (0.165),3.04E-01,4.13E-01,No,189,-0.076 (0.034),2.32E-02,7.50E-02,No,0.022 (0.071),7.55E-01,8.02E-01,No,1163,-0.114 (0.037) *,2.36E-03,2.29E-02,Yes,0.189 (0.075) *,1.23E-02,2.89E-02,Yes,864
cortical_thickness,CTQ_Abuse,female,R_paracentral_thickavg,0.016 (0.079),8.42E-01,9.80E-01,No,-0.275 (0.164),9.55E-02,1.87E-01,No,189,0.041 (0.034),2.21E-01,3.57E-01,No,0.029 (0.071),6.84E-01,7.63E-01,No,1163,-0.029 (0.038),4.45E-01,7.07E-01,No,0.046 (0.076),5.42E-01,6.35E-01,No,864
cortical_thickness,CTQ_Abuse,female,R_parsopercularis_thickavg,0.088 (0.076),2.45E-01,8.77E-01,No,-0.718 (0.156) *,8.07E-06,5.49E-04,Yes,189,0.047 (0.033),1.62E-01,2.89E-01,No,-0.212 (0.071) *,2.88E-03,1.77E-02,Yes,1163,-0.054 (0.038),1.48E-01,3.55E-01,No,-0.074 (0.076),3.30E-01,4.57E-01,No,864
cortical_thickness,CTQ_Abuse,female,R_parsorbitalis_thickavg,0.026 (0.079),7.37E-01,9.80E-01,No,-0.384 (0.163),1.92E-02,7.24E-02,No,189,-0.02 (0.034),5.49E-01,5.93E-01,No,-0.06 (0.071),3.98E-01,5.21E-01,No,1163,0.017 (0.038),6.45E-01,7.97E-01,No,0.059 (0.076),4.38E-01,5.52E-01,No,864
cortical_thickness,CTQ_Abuse,female,R_parstriangularis_thickavg,0.1 (0.078),1.98E-01,8.73E-01,No,-0.557 (0.16) *,6.33E-04,3.91E-03,Yes,189,0.074 (0.033),2.69E-02,7.62E-02,No,-0.355 (0.071) *,5.38E-07,3.66E-05,Yes,1163,0.066 (0.037),7.79E-02,2.28E-01,No,-0.197 (0.075) *,9.04E-03,2.28E-02,Yes,864
cortical_thickness,CTQ_Abuse,female,R_pericalcarine_thickavg,0.001 (0.08),9.91E-01,9.91E-01,No,-0.046 (0.165),7.83E-01,8.73E-01,No,189,0.043 (0.033),2.01E-01,3.41E-01,No,-0.263 (0.071) *,2.18E-04,4.94E-03,Yes,1163,-0.003 (0.037),9.25E-01,9.51E-01,No,-0.34 (0.075) *,5.96E-06,3.42E-04,Yes,864
cortical_thickness,CTQ_Abuse,female,R_postcentral_thickavg,-0.075 (0.08),3.50E-01,9.53E-01,No,0.188 (0.165),2.55E-01,3.62E-01,No,189,-0.009 (0.034),7.91E-01,8.03E-01,No,-0.009 (0.071),8.95E-01,9.22E-01,No,1163,0.057 (0.038),1.27E-01,3.46E-01,No,-0.117 (0.076),1.23E-01,1.95E-01,No,864
cortical_thickness,CTQ_Abuse,female,R_posteriorcingulate_thickavg,-0.042 (0.079),5.90E-01,9.80E-01,No,0.414 (0.162) *,1.15E-02,4.90E-02,Yes,189,-0.075 (0.034),2.54E-02,7.50E-02,No,0.115 (0.071),1.05E-01,2.47E-01,No,1163,-0.095 (0.037),1.17E-02,7.22E-02,No,-0.041 (0.075),5.91E-01,6.58E-01,No,864
cortical_thickness,CTQ_Abuse,female,R_precentral_thickavg,-0.098 (0.079),2.17E-01,8.73E-01,No,-0.154 (0.164),3.49E-01,4.47E-01,No,189,-0.072 (0.034),3.13E-02,8.53E-02,No,0.125 (0.071),7.84E-02,2.05E-01,No,1163,-0.086 (0.038),2.19E-02,9.92E-02,No,0.072 (0.076),3.44E-01,4.68E-01,No,864
cortical_thickness,CTQ_Abuse,female,R_precuneus_thickavg,0.014 (0.08),8.60E-01,9.80E-01,No,0.008 (0.165),9.61E-01,9.75E-01,No,189,0.075 (0.034),2.53E-02,7.50E-02,No,-0.048 (0.071),5.04E-01,6.12E-01,No,1163,-0.024 (0.038),5.28E-01,7.81E-01,No,-0.068 (0.076),3.70E-01,4.84E-01,No,864
cortical_thickness,CTQ_Abuse,female,R_rostralanteriorcingulate_thickavg,-0.142 (0.078),7.10E-02,8.34E-01,No,0.467 (0.161) *,4.26E-03,2.23E-02,Yes,189,-0.063 (0.034),6.12E-02,1.39E-01,No,0.094 (0.071),1.85E-01,3.50E-01,No,1163,-0.006 (0.038),8.67E-01,9.51E-01,No,0.164 (0.076),3.02E-02,6.04E-02,No,864
cortical_thickness,CTQ_Abuse,female,R_rostralmiddlefrontal_thickavg,0.044 (0.08),5.81E-01,9.80E-01,No,-0.242 (0.164),1.42E-01,2.31E-01,No,189,0.089 (0.033) *,7.75E-03,2.93E-02,Yes,-0.21 (0.071) *,3.12E-03,1.77E-02,Yes,1163,0.054 (0.037),1.45E-01,3.55E-01,No,-0.3 (0.075) *,6.88E-05,4.80E-04,Yes,864
cortical_thickness,CTQ_Abuse,female,R_superiorfrontal_thickavg,0.198 (0.077),1.12E-02,3.38E-01,No,-0.569 (0.159) *,4.49E-04,3.62E-03,Yes,189,0.093 (0.033) *,5.53E-03,2.21E-02,Yes,-0.237 (0.071) *,8.49E-04,9.62E-03,Yes,1163,0.003 (0.037),9.28E-01,9.51E-01,No,-0.223 (0.075) *,3.18E-03,9.00E-03,Yes,864
cortical_thickness,CTQ_Abuse,female,R_superiorparietal_thickavg,-0.018 (0.08),8.22E-01,9.80E-01,No,0.001 (0.165),9.93E-01,9.93E-01,No,189,0.029 (0.034),3.94E-01,5.36E-01,No,0.111 (0.071),1.18E-01,2.59E-01,No,1163,0.068 (0.038),7.05E-02,2.18E-01,No,-0.179 (0.076) *,1.79E-02,3.81E-02,Yes,864
cortical_thickness,CTQ_Abuse,female,R_superiortemporal_thickavg,0.002 (0.079),9.78E-01,9.91E-01,No,-0.375 (0.163),2.21E-02,7.27E-02,No,189,-0.032 (0.034),3.36E-01,4.97E-01,No,0.053 (0.071),4.59E-01,5.79E-01,No,1163,-0.084 (0.038),2.49E-02,1.06E-01,No,0.148 (0.076),4.97E-02,9.38E-02,No,864
cortical_thickness,CTQ_Abuse,female,R_supramargil_thickavg,-0.101 (0.078),2.01E-01,8.73E-01,No,-0.285 (0.162),8.00E-02,1.72E-01,No,189,-0.063 (0.034),6.01E-02,1.39E-01,No,0.075 (0.071),2.89E-01,4.39E-01,No,1163,-0.074 (0.038),4.85E-02,1.57E-01,No,0.07 (0.076),3.52E-01,4.69E-01,No,864
cortical_thickness,CTQ_Abuse,female,R_frontalpole_thickavg,-0.095 (0.079),2.31E-01,8.73E-01,No,0.375 (0.163),2.25E-02,7.27E-02,No,189,0.055 (0.034),9.80E-02,1.96E-01,No,0.057 (0.071),4.26E-01,5.47E-01,No,1163,-0.011 (0.038),7.70E-01,8.87E-01,No,-0.045 (0.076),5.52E-01,6.36E-01,No,864
cortical_thickness,CTQ_Abuse,female,R_temporalpole_thickavg,0.118 (0.079),1.41E-01,8.73E-01,No,0.031 (0.164),8.51E-01,9.04E-01,No,189,-0.029 (0.034),3.86E-01,5.35E-01,No,-0.041 (0.071),5.65E-01,6.51E-01,No,1163,-0.012 (0.037),7.54E-01,8.84E-01,No,0.201 (0.075) *,7.99E-03,2.09E-02,Yes,864
cortical_thickness,CTQ_Abuse,female,R_transversetemporal_thickavg,0.108 (0.077),1.65E-01,8.73E-01,No,-0.588 (0.16) *,3.03E-04,2.94E-03,Yes,189,0.069 (0.034),4.09E-02,9.93E-02,No,-0.075 (0.071),2.91E-01,4.39E-01,No,1163,0.08 (0.038),3.25E-02,1.23E-01,No,-0.08 (0.076),2.92E-01,4.14E-01,No,864
