phenotype_names,CTQ_Term,Sex,Region,Effect_Size_Ped,p_value_Ped,q_value_Ped,Significant_Ped,Sample_Size_Ped,Effect_Size_YA,p_value_YA,q_value_YA,Significant_YA,Sample_Size_YA,Effect_Size_OA,p_value_OA,q_value_OA,Significant_OA,Sample_Size_OA
cortical_thickness,CTQ_Abuse,female,L_middletemporal_thickavg,-0.018 (0.073),8.01E-01,9.78E-01,No,189,-0.005 (0.029),8.70E-01,9.46E-01,No,1163,0.073 (0.034),3.19E-02,1.14E-01,No,864
cortical_thickness,CTQ_Abuse,female,L_parahippocampal_thickavg,-0.031 (0.073),6.71E-01,9.78E-01,No,189,-0.035 (0.029),2.33E-01,4.16E-01,No,1163,-0.051 (0.034),1.36E-01,3.02E-01,No,864
cortical_thickness,CTQ_Abuse,female,L_paracentral_thickavg,0.032 (0.073),6.63E-01,9.78E-01,No,189,0.045 (0.029),1.26E-01,3.02E-01,No,1163,0.018 (0.034),6.01E-01,7.56E-01,No,864
cortical_thickness,CTQ_Abuse,female,L_parsopercularis_thickavg,-0.085 (0.073),2.47E-01,8.67E-01,No,189,-0.009 (0.029),7.61E-01,9.25E-01,No,1163,-0.002 (0.034),9.62E-01,9.67E-01,No,864
cortical_thickness,CTQ_Abuse,female,L_parsorbitalis_thickavg,0.032 (0.073),6.60E-01,9.78E-01,No,189,-0.035 (0.029),2.37E-01,4.16E-01,No,1163,0.079 (0.034),2.03E-02,9.84E-02,No,864
cortical_thickness,CTQ_Abuse,female,L_parstriangularis_thickavg,-0.094 (0.073),2.00E-01,8.67E-01,No,189,0.035 (0.029),2.39E-01,4.16E-01,No,1163,0.051 (0.034),1.38E-01,3.02E-01,No,864
cortical_thickness,CTQ_Abuse,female,L_pericalcarine_thickavg,0.056 (0.073),4.42E-01,9.31E-01,No,189,0.004 (0.029),9.04E-01,9.46E-01,No,1163,-0.051 (0.034),1.36E-01,3.02E-01,No,864
cortical_thickness,CTQ_Abuse,female,L_postcentral_thickavg,-0.116 (0.073),1.12E-01,7.41E-01,No,189,-0.033 (0.029),2.67E-01,4.43E-01,No,1163,0.026 (0.034),4.38E-01,6.20E-01,No,864
cortical_thickness,CTQ_Abuse,female,L_posteriorcingulate_thickavg,-0.019 (0.073),7.98E-01,9.78E-01,No,189,-0.124 (0.029) *,2.28E-05,1.55E-03,Yes,1163,-0.166 (0.034) *,9.57E-07,6.50E-05,Yes,864
cortical_thickness,CTQ_Abuse,female,L_precentral_thickavg,-0.123 (0.073),9.12E-02,7.41E-01,No,189,-0.015 (0.029),6.16E-01,8.21E-01,No,1163,-0.009 (0.034),8.01E-01,8.73E-01,No,864
cortical_thickness,CTQ_Abuse,female,L_precuneus_thickavg,0.003 (0.073),9.67E-01,9.82E-01,No,189,0.004 (0.029),9.04E-01,9.46E-01,No,1163,-0.062 (0.034),7.07E-02,2.00E-01,No,864
cortical_thickness,CTQ_Abuse,female,L_rostralanteriorcingulate_thickavg,0.127 (0.073),8.09E-02,7.41E-01,No,189,-0.066 (0.029),2.46E-02,1.11E-01,No,1163,-0.008 (0.034),8.22E-01,8.73E-01,No,864
cortical_thickness,CTQ_Abuse,female,L_rostralmiddlefrontal_thickavg,-0.061 (0.073),4.08E-01,9.31E-01,No,189,0.05 (0.029),8.86E-02,2.65E-01,No,1163,-0.013 (0.034),7.00E-01,8.15E-01,No,864
cortical_thickness,CTQ_Abuse,female,L_superiorfrontal_thickavg,0.114 (0.073),1.20E-01,7.41E-01,No,189,0.062 (0.029),3.31E-02,1.32E-01,No,1163,-0.014 (0.034),6.80E-01,8.12E-01,No,864
cortical_thickness,CTQ_Abuse,female,L_superiorparietal_thickavg,0.022 (0.073),7.67E-01,9.78E-01,No,189,0.021 (0.029),4.69E-01,6.94E-01,No,1163,-0.017 (0.034),6.20E-01,7.66E-01,No,864
cortical_thickness,CTQ_Abuse,female,L_superiortemporal_thickavg,0.009 (0.073),8.98E-01,9.82E-01,No,189,0.077 (0.029),8.80E-03,5.39E-02,No,1163,0.013 (0.034),7.07E-01,8.15E-01,No,864
cortical_thickness,CTQ_Abuse,female,L_supramargil_thickavg,-0.119 (0.073),1.02E-01,7.41E-01,No,189,-0.01 (0.029),7.27E-01,8.98E-01,No,1163,-0.097 (0.034) *,4.50E-03,2.78E-02,Yes,864
cortical_thickness,CTQ_Abuse,female,L_frontalpole_thickavg,0.087 (0.073),2.36E-01,8.67E-01,No,189,0.029 (0.029),3.25E-01,5.26E-01,No,1163,-0.035 (0.034),3.02E-01,5.25E-01,No,864
cortical_thickness,CTQ_Abuse,female,L_temporalpole_thickavg,0.078 (0.073),2.88E-01,8.67E-01,No,189,0.005 (0.029),8.69E-01,9.46E-01,No,1163,0.047 (0.034),1.68E-01,3.45E-01,No,864
cortical_thickness,CTQ_Abuse,female,L_transversetemporal_thickavg,0.142 (0.072),5.15E-02,7.41E-01,No,189,0.044 (0.029),1.31E-01,3.02E-01,No,1163,0.008 (0.034),8.19E-01,8.73E-01,No,864
cortical_thickness,CTQ_Abuse,female,L_insula_thickavg,0.085 (0.073),2.44E-01,8.67E-01,No,189,-0.083 (0.029) *,4.67E-03,3.53E-02,Yes,1163,0.015 (0.034),6.62E-01,8.04E-01,No,864
cortical_thickness,CTQ_Abuse,female,R_bankssts_thickavg,-0.014 (0.073),8.48E-01,9.78E-01,No,189,-0.039 (0.029),1.87E-01,3.58E-01,No,1163,-0.068 (0.034),4.60E-02,1.42E-01,No,864
cortical_thickness,CTQ_Abuse,female,R_caudalanteriorcingulate_thickavg,0.071 (0.073),3.34E-01,8.73E-01,No,189,-0.09 (0.029) *,2.02E-03,1.97E-02,Yes,1163,-0.035 (0.034),3.09E-01,5.25E-01,No,864
cortical_thickness,CTQ_Abuse,female,R_caudalmiddlefrontal_thickavg,-0.033 (0.073),6.51E-01,9.78E-01,No,189,-0.044 (0.029),1.37E-01,3.02E-01,No,1163,-0.107 (0.034) *,1.71E-03,1.94E-02,Yes,864
cortical_thickness,CTQ_Abuse,female,R_cuneus_thickavg,0.075 (0.073),3.06E-01,8.67E-01,No,189,-0.022 (0.029),4.59E-01,6.93E-01,No,1163,-0.007 (0.034),8.46E-01,8.85E-01,No,864
cortical_thickness,CTQ_Abuse,female,R_entorhil_thickavg,0.059 (0.073),4.19E-01,9.31E-01,No,189,-0.114 (0.029) *,9.69E-05,2.20E-03,Yes,1163,-0.054 (0.034),1.14E-01,2.92E-01,No,864
cortical_thickness,CTQ_Abuse,female,R_fusiform_thickavg,0.108 (0.073),1.38E-01,7.83E-01,No,189,0.049 (0.029),9.47E-02,2.65E-01,No,1163,0.043 (0.034),2.12E-01,3.89E-01,No,864
cortical_thickness,CTQ_Abuse,female,R_inferiorparietal_thickavg,-0.065 (0.073),3.73E-01,9.31E-01,No,189,-0.012 (0.029),6.75E-01,8.66E-01,No,1163,0.031 (0.034),3.68E-01,5.65E-01,No,864
cortical_thickness,CTQ_Abuse,female,R_inferiortemporal_thickavg,0.015 (0.073),8.43E-01,9.78E-01,No,189,-0.001 (0.029),9.85E-01,9.85E-01,No,1163,0.073 (0.034),3.17E-02,1.14E-01,No,864
cortical_thickness,CTQ_Abuse,female,R_isthmuscingulate_thickavg,-0.027 (0.073),7.12E-01,9.78E-01,No,189,-0.058 (0.029),4.88E-02,1.84E-01,No,1163,-0.091 (0.034) *,7.40E-03,4.20E-02,Yes,864
cortical_thickness,CTQ_Abuse,female,R_lateraloccipital_thickavg,0.061 (0.073),4.07E-01,9.31E-01,No,189,-0.049 (0.029),9.66E-02,2.65E-01,No,1163,0.048 (0.034),1.62E-01,3.45E-01,No,864
cortical_thickness,CTQ_Abuse,female,R_lateralorbitofrontal_thickavg,0.049 (0.073),4.99E-01,9.31E-01,No,189,0.015 (0.029),6.10E-01,8.21E-01,No,1163,0.045 (0.034),1.89E-01,3.66E-01,No,864
cortical_thickness,CTQ_Abuse,female,R_lingual_thickavg,0.042 (0.073),5.68E-01,9.78E-01,No,189,-0.022 (0.029),4.52E-01,6.93E-01,No,1163,-0.086 (0.034),1.18E-02,6.20E-02,No,864
cortical_thickness,CTQ_Abuse,female,R_medialorbitofrontal_thickavg,0.015 (0.073),8.40E-01,9.78E-01,No,189,0.087 (0.029) *,2.95E-03,2.51E-02,Yes,1163,0.104 (0.034) *,2.19E-03,2.03E-02,Yes,864
cortical_thickness,CTQ_Abuse,female,R_middletemporal_thickavg,-0.104 (0.073),1.56E-01,8.14E-01,No,189,-0.1 (0.029) *,6.34E-04,8.62E-03,Yes,1163,-0.023 (0.034),4.92E-01,6.69E-01,No,864
cortical_thickness,CTQ_Abuse,female,R_parahippocampal_thickavg,0.004 (0.073),9.62E-01,9.82E-01,No,189,-0.071 (0.029),1.54E-02,8.03E-02,No,1163,-0.074 (0.034),2.92E-02,1.14E-01,No,864
cortical_thickness,CTQ_Abuse,female,R_paracentral_thickavg,-0.038 (0.073),6.08E-01,9.78E-01,No,189,0.048 (0.029),1.04E-01,2.71E-01,No,1163,-0.019 (0.034),5.77E-01,7.55E-01,No,864
cortical_thickness,CTQ_Abuse,female,R_parsopercularis_thickavg,-0.051 (0.073),4.84E-01,9.31E-01,No,189,-0.002 (0.029),9.54E-01,9.68E-01,No,1163,-0.07 (0.034),3.98E-02,1.29E-01,No,864
cortical_thickness,CTQ_Abuse,female,R_parsorbitalis_thickavg,-0.048 (0.073),5.10E-01,9.31E-01,No,189,-0.034 (0.029),2.48E-01,4.22E-01,No,1163,0.03 (0.034),3.82E-01,5.65E-01,No,864
cortical_thickness,CTQ_Abuse,female,R_parstriangularis_thickavg,-0.008 (0.073),9.13E-01,9.82E-01,No,189,-0.008 (0.029),7.92E-01,9.45E-01,No,1163,0.024 (0.034),4.73E-01,6.56E-01,No,864
cortical_thickness,CTQ_Abuse,female,R_pericalcarine_thickavg,-0.008 (0.073),9.13E-01,9.82E-01,No,189,-0.017 (0.029),5.53E-01,7.83E-01,No,1163,-0.075 (0.034),2.67E-02,1.14E-01,No,864
cortical_thickness,CTQ_Abuse,female,R_postcentral_thickavg,-0.038 (0.073),6.02E-01,9.78E-01,No,189,-0.011 (0.029),7.07E-01,8.90E-01,No,1163,0.033 (0.034),3.37E-01,5.53E-01,No,864
cortical_thickness,CTQ_Abuse,female,R_posteriorcingulate_thickavg,0.038 (0.073),6.03E-01,9.78E-01,No,189,-0.049 (0.029),9.75E-02,2.65E-01,No,1163,-0.103 (0.034) *,2.39E-03,2.03E-02,Yes,864
cortical_thickness,CTQ_Abuse,female,R_precentral_thickavg,-0.128 (0.073),7.95E-02,7.41E-01,No,189,-0.044 (0.029),1.38E-01,3.02E-01,No,1163,-0.071 (0.034),3.67E-02,1.25E-01,No,864
cortical_thickness,CTQ_Abuse,female,R_precuneus_thickavg,0.016 (0.073),8.29E-01,9.78E-01,No,189,0.064 (0.029),2.86E-02,1.21E-01,No,1163,-0.038 (0.034),2.64E-01,4.72E-01,No,864
cortical_thickness,CTQ_Abuse,female,R_rostralanteriorcingulate_thickavg,-0.051 (0.073),4.84E-01,9.31E-01,No,189,-0.041 (0.029),1.60E-01,3.33E-01,No,1163,0.028 (0.034),4.05E-01,5.86E-01,No,864
cortical_thickness,CTQ_Abuse,female,R_rostralmiddlefrontal_thickavg,-0.003 (0.073),9.67E-01,9.82E-01,No,189,0.041 (0.029),1.62E-01,3.33E-01,No,1163,-0.009 (0.034),7.90E-01,8.73E-01,No,864
cortical_thickness,CTQ_Abuse,female,R_superiorfrontal_thickavg,0.087 (0.073),2.34E-01,8.67E-01,No,189,0.039 (0.029),1.89E-01,3.58E-01,No,1163,-0.044 (0.034),1.99E-01,3.77E-01,No,864
cortical_thickness,CTQ_Abuse,female,R_superiorparietal_thickavg,-0.018 (0.073),8.09E-01,9.78E-01,No,189,0.054 (0.029),6.55E-02,2.23E-01,No,1163,0.03 (0.034),3.77E-01,5.65E-01,No,864
cortical_thickness,CTQ_Abuse,female,R_superiortemporal_thickavg,-0.071 (0.073),3.34E-01,8.73E-01,No,189,-0.02 (0.029),4.90E-01,7.10E-01,No,1163,-0.053 (0.034),1.20E-01,2.92E-01,No,864
cortical_thickness,CTQ_Abuse,female,R_supramargil_thickavg,-0.156 (0.072),3.20E-02,7.41E-01,No,189,-0.046 (0.029),1.18E-01,2.98E-01,No,1163,-0.059 (0.034),8.12E-02,2.21E-01,No,864
cortical_thickness,CTQ_Abuse,female,R_frontalpole_thickavg,-0.022 (0.073),7.64E-01,9.78E-01,No,189,0.068 (0.029),1.96E-02,9.50E-02,No,1163,-0.021 (0.034),5.46E-01,7.29E-01,No,864
cortical_thickness,CTQ_Abuse,female,R_temporalpole_thickavg,0.124 (0.073),9.04E-02,7.41E-01,No,189,-0.039 (0.029),1.89E-01,3.58E-01,No,1163,0.031 (0.034),3.69E-01,5.65E-01,No,864
cortical_thickness,CTQ_Abuse,female,R_transversetemporal_thickavg,-0.006 (0.073),9.30E-01,9.82E-01,No,189,0.051 (0.029),7.97E-02,2.58E-01,No,1163,0.064 (0.034),6.17E-02,1.83E-01,No,864
cortical_thickness,CTQ_Abuse,female,R_insula_thickavg,-0.023 (0.073),7.56E-01,9.78E-01,No,189,-0.014 (0.029),6.34E-01,8.29E-01,No,1163,0.032 (0.034),3.41E-01,5.53E-01,No,864
cortical_thickness,CTQ_Abuse,male,L_bankssts_thickavg,-0.057 (0.08),4.74E-01,8.36E-01,No,159,-0.063 (0.037),8.74E-02,2.22E-01,No,742,-0.037 (0.041),3.68E-01,7.08E-01,No,585
cortical_thickness,CTQ_Abuse,male,L_caudalanteriorcingulate_thickavg,0.147 (0.079),6.39E-02,6.14E-01,No,159,-0.048 (0.037),1.93E-01,3.46E-01,No,742,-0.04 (0.041),3.31E-01,7.08E-01,No,585
cortical_thickness,CTQ_Abuse,male,L_caudalmiddlefrontal_thickavg,0.095 (0.079),2.35E-01,7.54E-01,No,159,-0.029 (0.037),4.36E-01,6.21E-01,No,742,-0.047 (0.041),2.53E-01,6.89E-01,No,585
cortical_thickness,CTQ_Abuse,male,L_cuneus_thickavg,-0.058 (0.08),4.71E-01,8.36E-01,No,159,0.044 (0.037),2.27E-01,3.86E-01,No,742,-0.027 (0.041),5.13E-01,8.45E-01,No,585
cortical_thickness,CTQ_Abuse,male,L_entorhil_thickavg,0.083 (0.08),2.96E-01,7.73E-01,No,159,-0.028 (0.037),4.40E-01,6.21E-01,No,742,0.009 (0.041),8.27E-01,9.13E-01,No,585
cortical_thickness,CTQ_Abuse,male,L_fusiform_thickavg,0.058 (0.08),4.70E-01,8.36E-01,No,159,0.08 (0.037),2.94E-02,1.17E-01,No,742,0.095 (0.041),2.10E-02,2.75E-01,No,585
cortical_thickness,CTQ_Abuse,male,L_inferiorparietal_thickavg,0.073 (0.08),3.62E-01,8.18E-01,No,159,-0.001 (0.037),9.81E-01,9.81E-01,No,742,-0.074 (0.041),7.33E-02,4.53E-01,No,585
cortical_thickness,CTQ_Abuse,male,L_inferiortemporal_thickavg,0.039 (0.08),6.24E-01,8.39E-01,No,159,0.013 (0.037),7.31E-01,8.15E-01,No,742,0.077 (0.041),6.12E-02,4.42E-01,No,585
cortical_thickness,CTQ_Abuse,male,L_isthmuscingulate_thickavg,-0.019 (0.08),8.13E-01,9.20E-01,No,159,-0.13 (0.036) *,3.68E-04,3.57E-03,Yes,742,-0.017 (0.041),6.83E-01,8.83E-01,No,585
cortical_thickness,CTQ_Abuse,male,L_lateraloccipital_thickavg,0.008 (0.08),9.17E-01,9.37E-01,No,159,-0.114 (0.037) *,1.94E-03,1.32E-02,Yes,742,-0.066 (0.041),1.10E-01,5.31E-01,No,585
cortical_thickness,CTQ_Abuse,male,L_lateralorbitofrontal_thickavg,-0.048 (0.08),5.47E-01,8.36E-01,No,159,0.152 (0.036) *,3.40E-05,5.78E-04,Yes,742,-0.016 (0.041),7.07E-01,8.83E-01,No,585
cortical_thickness,CTQ_Abuse,male,L_lingual_thickavg,-0.101 (0.079),2.03E-01,7.54E-01,No,159,0.026 (0.037),4.80E-01,6.21E-01,No,742,-0.092 (0.041),2.59E-02,2.75E-01,No,585
cortical_thickness,CTQ_Abuse,male,L_medialorbitofrontal_thickavg,0.097 (0.079),2.24E-01,7.54E-01,No,159,0.132 (0.036) *,3.15E-04,3.57E-03,Yes,742,0.107 (0.041),9.40E-03,2.75E-01,No,585
cortical_thickness,CTQ_Abuse,male,L_middletemporal_thickavg,-0.084 (0.08),2.94E-01,7.73E-01,No,159,-0.052 (0.037),1.59E-01,3.09E-01,No,742,0.014 (0.041),7.30E-01,8.83E-01,No,585
cortical_thickness,CTQ_Abuse,male,L_parahippocampal_thickavg,0.021 (0.08),7.93E-01,9.20E-01,No,159,0.081 (0.037),2.82E-02,1.17E-01,No,742,-0.035 (0.041),4.02E-01,7.35E-01,No,585
cortical_thickness,CTQ_Abuse,male,L_paracentral_thickavg,0.025 (0.08),7.50E-01,9.20E-01,No,159,0.022 (0.037),5.50E-01,6.93E-01,No,742,0.02 (0.041),6.34E-01,8.83E-01,No,585
cortical_thickness,CTQ_Abuse,male,L_parsopercularis_thickavg,-0.071 (0.08),3.73E-01,8.18E-01,No,159,-0.088 (0.037),1.71E-02,9.70E-02,No,742,-0.033 (0.041),4.20E-01,7.35E-01,No,585
cortical_thickness,CTQ_Abuse,male,L_parsorbitalis_thickavg,0.053 (0.08),5.08E-01,8.36E-01,No,159,-0.011 (0.037),7.62E-01,8.36E-01,No,742,-0.043 (0.041),3.04E-01,7.08E-01,No,585
cortical_thickness,CTQ_Abuse,male,L_parstriangularis_thickavg,0.113 (0.079),1.56E-01,7.54E-01,No,159,-0.026 (0.037),4.79E-01,6.21E-01,No,742,0.045 (0.041),2.76E-01,6.94E-01,No,585
cortical_thickness,CTQ_Abuse,male,L_pericalcarine_thickavg,-0.039 (0.08),6.29E-01,8.39E-01,No,159,0.018 (0.037),6.27E-01,7.60E-01,No,742,0.016 (0.041),6.91E-01,8.83E-01,No,585
cortical_thickness,CTQ_Abuse,male,L_postcentral_thickavg,-0.142 (0.079),7.47E-02,6.14E-01,No,159,-0.017 (0.037),6.37E-01,7.60E-01,No,742,0.005 (0.041),9.08E-01,9.36E-01,No,585
cortical_thickness,CTQ_Abuse,male,L_posteriorcingulate_thickavg,-0.072 (0.08),3.68E-01,8.18E-01,No,159,-0.081 (0.037),2.77E-02,1.17E-01,No,742,-0.065 (0.041),1.14E-01,5.31E-01,No,585
cortical_thickness,CTQ_Abuse,male,L_precentral_thickavg,0.089 (0.079),2.66E-01,7.54E-01,No,159,-0.058 (0.037),1.16E-01,2.55E-01,No,742,-0.02 (0.041),6.25E-01,8.83E-01,No,585
cortical_thickness,CTQ_Abuse,male,L_precuneus_thickavg,0.132 (0.079),9.78E-02,6.38E-01,No,159,0.04 (0.037),2.79E-01,4.51E-01,No,742,-0.055 (0.041),1.80E-01,6.72E-01,No,585
cortical_thickness,CTQ_Abuse,male,L_rostralanteriorcingulate_thickavg,0.13 (0.079),1.03E-01,6.38E-01,No,159,-0.032 (0.037),3.83E-01,5.91E-01,No,742,-0.021 (0.041),6.09E-01,8.83E-01,No,585
cortical_thickness,CTQ_Abuse,male,L_rostralmiddlefrontal_thickavg,0.044 (0.08),5.79E-01,8.39E-01,No,159,0.034 (0.037),3.55E-01,5.61E-01,No,742,-0.0 (0.041),9.99E-01,9.99E-01,No,585
cortical_thickness,CTQ_Abuse,male,L_superiorfrontal_thickavg,0.109 (0.079),1.73E-01,7.54E-01,No,159,0.015 (0.037),6.91E-01,7.92E-01,No,742,-0.043 (0.041),2.97E-01,7.08E-01,No,585
cortical_thickness,CTQ_Abuse,male,L_superiorparietal_thickavg,0.025 (0.08),7.50E-01,9.20E-01,No,159,0.059 (0.037),1.05E-01,2.47E-01,No,742,0.065 (0.041),1.17E-01,5.31E-01,No,585
cortical_thickness,CTQ_Abuse,male,L_superiortemporal_thickavg,0.124 (0.079),1.20E-01,6.79E-01,No,159,-0.019 (0.037),6.04E-01,7.47E-01,No,742,0.019 (0.041),6.42E-01,8.83E-01,No,585
cortical_thickness,CTQ_Abuse,male,L_supramargil_thickavg,0.024 (0.08),7.67E-01,9.20E-01,No,159,-0.058 (0.037),1.14E-01,2.55E-01,No,742,-0.04 (0.041),3.38E-01,7.08E-01,No,585
cortical_thickness,CTQ_Abuse,male,L_frontalpole_thickavg,0.028 (0.08),7.28E-01,9.20E-01,No,159,0.003 (0.037),9.26E-01,9.40E-01,No,742,0.001 (0.041),9.82E-01,9.97E-01,No,585
cortical_thickness,CTQ_Abuse,male,L_temporalpole_thickavg,-0.002 (0.08),9.82E-01,9.82E-01,No,159,0.009 (0.037),8.03E-01,8.48E-01,No,742,0.049 (0.041),2.36E-01,6.89E-01,No,585
cortical_thickness,CTQ_Abuse,male,L_transversetemporal_thickavg,0.074 (0.08),3.52E-01,8.18E-01,No,159,0.066 (0.037),7.44E-02,2.02E-01,No,742,0.048 (0.041),2.51E-01,6.89E-01,No,585
cortical_thickness,CTQ_Abuse,male,L_insula_thickavg,0.173 (0.079),2.95E-02,4.40E-01,No,159,-0.062 (0.037),9.31E-02,2.26E-01,No,742,-0.051 (0.041),2.16E-01,6.88E-01,No,585
cortical_thickness,CTQ_Abuse,male,R_bankssts_thickavg,-0.013 (0.08),8.70E-01,9.37E-01,No,159,-0.153 (0.036) *,2.83E-05,5.78E-04,Yes,742,-0.117 (0.041),4.65E-03,2.75E-01,No,585
cortical_thickness,CTQ_Abuse,male,R_caudalanteriorcingulate_thickavg,0.104 (0.079),1.94E-01,7.54E-01,No,159,-0.006 (0.037),8.81E-01,9.08E-01,No,742,-0.014 (0.041),7.43E-01,8.83E-01,No,585
cortical_thickness,CTQ_Abuse,male,R_caudalmiddlefrontal_thickavg,-0.023 (0.08),7.73E-01,9.20E-01,No,159,-0.049 (0.037),1.84E-01,3.39E-01,No,742,-0.086 (0.041),3.80E-02,3.23E-01,No,585
cortical_thickness,CTQ_Abuse,male,R_cuneus_thickavg,-0.139 (0.079),8.13E-02,6.14E-01,No,159,0.017 (0.037),6.51E-01,7.64E-01,No,742,0.011 (0.041),7.85E-01,8.89E-01,No,585
cortical_thickness,CTQ_Abuse,male,R_entorhil_thickavg,0.019 (0.08),8.11E-01,9.20E-01,No,159,-0.085 (0.037),2.04E-02,9.90E-02,No,742,-0.037 (0.041),3.75E-01,7.08E-01,No,585
cortical_thickness,CTQ_Abuse,male,R_fusiform_thickavg,0.056 (0.08),4.85E-01,8.36E-01,No,159,0.028 (0.037),4.43E-01,6.21E-01,No,742,0.091 (0.041),2.84E-02,2.75E-01,No,585
cortical_thickness,CTQ_Abuse,male,R_inferiorparietal_thickavg,0.089 (0.079),2.66E-01,7.54E-01,No,159,-0.067 (0.037),6.65E-02,1.90E-01,No,742,-0.038 (0.041),3.60E-01,7.08E-01,No,585
cortical_thickness,CTQ_Abuse,male,R_inferiortemporal_thickavg,-0.011 (0.08),8.95E-01,9.37E-01,No,159,-0.026 (0.037),4.84E-01,6.21E-01,No,742,0.071 (0.041),8.65E-02,4.90E-01,No,585
cortical_thickness,CTQ_Abuse,male,R_isthmuscingulate_thickavg,-0.008 (0.08),9.24E-01,9.37E-01,No,159,-0.118 (0.037) *,1.25E-03,9.41E-03,Yes,742,-0.029 (0.041),4.84E-01,8.22E-01,No,585
cortical_thickness,CTQ_Abuse,male,R_lateraloccipital_thickavg,0.06 (0.08),4.51E-01,8.36E-01,No,159,0.026 (0.037),4.78E-01,6.21E-01,No,742,0.023 (0.041),5.81E-01,8.83E-01,No,585
cortical_thickness,CTQ_Abuse,male,R_lateralorbitofrontal_thickavg,-0.008 (0.08),9.19E-01,9.37E-01,No,159,0.142 (0.036) *,1.01E-04,1.38E-03,Yes,742,0.013 (0.041),7.47E-01,8.83E-01,No,585
cortical_thickness,CTQ_Abuse,male,R_lingual_thickavg,-0.041 (0.08),6.07E-01,8.39E-01,No,159,0.043 (0.037),2.47E-01,4.10E-01,No,742,-0.055 (0.041),1.80E-01,6.72E-01,No,585
cortical_thickness,CTQ_Abuse,male,R_medialorbitofrontal_thickavg,-0.016 (0.08),8.39E-01,9.20E-01,No,159,0.184 (0.036) *,4.78E-07,3.25E-05,Yes,742,0.102 (0.041),1.36E-02,2.75E-01,No,585
