t_names,CTQ_Term,Sex,Region,Effect_Size_Main_Ped,P_Main_Ped,Q_Main_Ped,Significant_Main_Ped,Effect_Size_Cov_Ped,P_Cov_Ped,Q_Cov_Ped,Significant_Cov_Ped,Sample_Size_Ped,Effect_Size_Main_YA,P_Main_YA,Q_Main_YA,Significant_Main_YA,Effect_Size_Cov_YA,P_Cov_YA,Q_Cov_YA,Significant_Cov_YA,Sample_Size_YA,Effect_Size_Main_OA,P_Main_OA,Q_Main_OA,Significant_Main_OA,Effect_Size_Cov_OA,P_Cov_OA,Q_Cov_OA,Significant_Cov_OA,Sample_Size_OA
cortical_thickness,CTQ_Abuse,female,L_lateralorbitofrontal_thickavg,0.08 (0.079),3.13e-01,7.02e-01,No,0.398 (0.172) *,2.16e-02,4.59e-02,Yes,171,0.061 (0.033),6.73e-02,2.05e-01,No,-0.1 (0.078),1.98e-01,2.85e-01,No,1020,0.038 (0.038),3.19e-01,8.82e-01,No,-0.042 (0.081),6.07e-01,6.47e-01,No,736
cortical_thickness,CTQ_Abuse,female,L_lingual_thickavg,0.019 (0.081),8.13e-01,9.90e-01,No,-0.031 (0.176),8.60e-01,9.00e-01,No,171,0.046 (0.033),1.63e-01,2.92e-01,No,-0.076 (0.078),3.28e-01,4.13e-01,No,1020,0.025 (0.038),5.13e-01,9.32e-01,No,-0.322 (0.08) *,6.16e-05,3.49e-04,Yes,736
cortical_thickness,CTQ_Abuse,female,L_medialorbitofrontal_thickavg,0.093 (0.074),2.06e-01,6.68e-01,No,0.835 (0.159) *,4.79e-07,1.54e-05,Yes,171,0.095 (0.033),4.10e-03,5.57e-02,No,-0.148 (0.077),5.55e-02,9.43e-02,No,1020,0.05 (0.038),1.89e-01,8.82e-01,No,-0.092 (0.081),2.55e-01,2.99e-01,No,736
cortical_thickness,CTQ_Abuse,female,L_middletemporal_thickavg,-0.023 (0.081),7.77e-01,9.90e-01,No,-0.193 (0.175),2.73e-01,3.51e-01,No,171,-0.043 (0.033),1.89e-01,3.14e-01,No,0.272 (0.077) *,4.36e-04,1.85e-03,Yes,1020,0.028 (0.038),4.59e-01,9.32e-01,No,0.225 (0.08) *,5.26e-03,1.08e-02,Yes,736
cortical_thickness,CTQ_Abuse,female,L_parahippocampal_thickavg,-0.007 (0.081),9.34e-01,9.97e-01,No,-0.167 (0.176),3.44e-01,4.25e-01,No,171,-0.007 (0.033),8.31e-01,8.43e-01,No,0.109 (0.078),1.59e-01,2.36e-01,No,1020,-0.075 (0.038),4.82e-02,8.82e-01,No,0.266 (0.08) *,9.46e-04,2.57e-03,Yes,736
cortical_thickness,CTQ_Abuse,female,L_paracentral_thickavg,0.02 (0.081),8.01e-01,9.90e-01,No,-0.23 (0.175),1.91e-01,2.55e-01,No,171,-0.027 (0.033),4.13e-01,5.39e-01,No,-0.078 (0.078),3.16e-01,4.13e-01,No,1020,-0.015 (0.038),7.02e-01,9.32e-01,No,-0.11 (0.081),1.75e-01,2.17e-01,No,736
cortical_thickness,CTQ_Abuse,female,L_parsopercularis_thickavg,-0.027 (0.08),7.34e-01,9.90e-01,No,-0.43 (0.172) *,1.36e-02,3.29e-02,Yes,171,0.023 (0.033),4.83e-01,5.91e-01,No,-0.237 (0.077) *,2.27e-03,8.59e-03,Yes,1020,-0.044 (0.038),2.40e-01,8.82e-01,No,-0.333 (0.08) *,3.18e-05,2.70e-04,Yes,736
cortical_thickness,CTQ_Abuse,female,L_parsorbitalis_thickavg,0.093 (0.08),2.46e-01,6.68e-01,No,-0.486 (0.172) *,5.27e-03,1.89e-02,Yes,171,-0.002 (0.033),9.49e-01,9.49e-01,No,-0.056 (0.078),4.68e-01,5.40e-01,No,1020,-0.016 (0.038),6.76e-01,9.32e-01,No,0.043 (0.081),5.97e-01,6.47e-01,No,736
cortical_thickness,CTQ_Abuse,female,L_parstriangularis_thickavg,-0.108 (0.079),1.73e-01,6.68e-01,No,-0.453 (0.17) *,8.39e-03,2.48e-02,Yes,171,0.085 (0.033),1.00e-02,7.94e-02,No,-0.293 (0.077) *,1.55e-04,8.78e-04,Yes,1020,0.014 (0.038),7.12e-01,9.32e-01,No,-0.325 (0.08) *,5.36e-05,3.32e-04,Yes,736
cortical_thickness,CTQ_Abuse,female,L_pericalcarine_thickavg,-0.036 (0.081),6.57e-01,9.90e-01,No,0.246 (0.175),1.62e-01,2.21e-01,No,171,0.044 (0.033),1.79e-01,3.12e-01,No,-0.326 (0.077) *,2.52e-05,1.94e-04,Yes,1020,0.043 (0.038),2.56e-01,8.82e-01,No,-0.399 (0.079) *,6.61e-07,1.50e-05,Yes,736
cortical_thickness,CTQ_Abuse,female,L_postcentral_thickavg,-0.172 (0.08),3.24e-02,5.50e-01,No,-0.17 (0.172),3.23e-01,4.07e-01,No,171,-0.075 (0.033),2.42e-02,1.03e-01,No,0.015 (0.077),8.51e-01,8.77e-01,No,1020,0.057 (0.038),1.36e-01,8.82e-01,No,-0.166 (0.081),3.93e-02,6.22e-02,No,736
cortical_thickness,CTQ_Abuse,female,L_posteriorcingulate_thickavg,-0.027 (0.075),7.22e-01,9.90e-01,No,0.862 (0.162) *,3.28e-07,1.54e-05,Yes,171,-0.058 (0.033),7.78e-02,2.05e-01,No,0.326 (0.077) *,2.57e-05,1.94e-04,Yes,1020,-0.044 (0.038),2.56e-01,8.82e-01,No,0.125 (0.081),1.22e-01,1.60e-01,No,736
cortical_thickness,CTQ_Abuse,female,L_precentral_thickavg,-0.116 (0.08),1.46e-01,6.68e-01,No,-0.295 (0.172),8.92e-02,1.38e-01,No,171,-0.054 (0.033),1.03e-01,2.32e-01,No,0.079 (0.078),3.06e-01,4.08e-01,No,1020,-0.041 (0.038),2.83e-01,8.82e-01,No,0.103 (0.081),2.02e-01,2.41e-01,No,736
cortical_thickness,CTQ_Abuse,female,L_precuneus_thickavg,0.091 (0.08),2.59e-01,6.78e-01,No,-0.38 (0.173),2.99e-02,5.97e-02,No,171,0.025 (0.033),4.50e-01,5.77e-01,No,-0.144 (0.078),6.43e-02,1.04e-01,No,1020,-0.042 (0.038),2.68e-01,8.82e-01,No,-0.16 (0.08),4.70e-02,7.10e-02,No,736
cortical_thickness,CTQ_Abuse,female,L_rostralanteriorcingulate_thickavg,0.121 (0.074),1.05e-01,6.68e-01,No,0.786 (0.16) *,2.07e-06,2.82e-05,Yes,171,-0.015 (0.033),6.52e-01,7.15e-01,No,0.24 (0.077) *,1.98e-03,7.93e-03,Yes,1020,0.009 (0.038),8.05e-01,9.53e-01,No,0.199 (0.08) *,1.37e-02,2.53e-02,Yes,736
cortical_thickness,CTQ_Abuse,female,L_rostralmiddlefrontal_thickavg,-0.083 (0.081),3.09e-01,7.02e-01,No,0.203 (0.175),2.49e-01,3.26e-01,No,171,0.084 (0.033),1.10e-02,7.94e-02,No,-0.177 (0.077) *,2.21e-02,4.42e-02,Yes,1020,-0.027 (0.038),4.70e-01,9.32e-01,No,-0.382 (0.079) *,1.83e-06,2.78e-05,Yes,736
cortical_thickness,CTQ_Abuse,female,L_superiorfrontal_thickavg,0.24 (0.079),2.81e-03,1.91e-01,No,-0.338 (0.171),4.93e-02,8.62e-02,No,171,0.175 (0.033) *,1.07e-07,7.31e-06,Yes,-0.22 (0.077) *,4.09e-03,1.32e-02,Yes,1020,-0.035 (0.038),3.61e-01,8.82e-01,No,-0.028 (0.081),7.32e-01,7.56e-01,No,736
cortical_thickness,CTQ_Abuse,female,L_superiorparietal_thickavg,0.067 (0.081),4.07e-01,7.91e-01,No,-0.291 (0.175),9.75e-02,1.47e-01,No,171,-0.037 (0.033),2.67e-01,3.95e-01,No,-0.081 (0.078),2.94e-01,4.00e-01,No,1020,0.035 (0.038),3.61e-01,8.82e-01,No,-0.233 (0.08) *,3.92e-03,8.32e-03,Yes,736
cortical_thickness,CTQ_Abuse,female,L_superiortemporal_thickavg,-0.01 (0.08),8.98e-01,9.97e-01,No,-0.329 (0.174),6.01e-02,1.02e-01,No,171,0.041 (0.033),2.17e-01,3.43e-01,No,0.077 (0.078),3.22e-01,4.13e-01,No,1020,-0.004 (0.038),9.19e-01,9.61e-01,No,0.238 (0.08) *,3.09e-03,7.51e-03,Yes,736
cortical_thickness,CTQ_Abuse,female,L_supramargil_thickavg,-0.027 (0.076),7.20e-01,9.90e-01,No,-0.739 (0.165) *,1.36e-05,9.25e-05,Yes,171,-0.066 (0.033),4.77e-02,1.62e-01,No,0.065 (0.078),4.00e-01,4.77e-01,No,1020,-0.005 (0.038),9.02e-01,9.61e-01,No,-0.075 (0.081),3.53e-01,4.00e-01,No,736
cortical_thickness,CTQ_Abuse,female,L_frontalpole_thickavg,0.011 (0.076),8.88e-01,9.97e-01,No,0.747 (0.165) *,1.14e-05,8.62e-05,Yes,171,0.057 (0.033),8.44e-02,2.05e-01,No,0.048 (0.078),5.33e-01,5.94e-01,No,1020,-0.005 (0.038),9.05e-01,9.61e-01,No,-0.153 (0.081),5.75e-02,8.15e-02,No,736
cortical_thickness,CTQ_Abuse,female,L_temporalpole_thickavg,0.017 (0.08),8.29e-01,9.90e-01,No,0.344 (0.174),4.95e-02,8.62e-02,No,171,-0.016 (0.033),6.35e-01,7.08e-01,No,0.188 (0.077) *,1.55e-02,3.63e-02,Yes,1020,-0.003 (0.038),9.46e-01,9.71e-01,No,0.274 (0.08) *,6.59e-04,1.95e-03,Yes,736
cortical_thickness,CTQ_Abuse,female,L_transversetemporal_thickavg,0.16 (0.08),4.62e-02,6.28e-01,No,-0.441 (0.172) *,1.11e-02,2.91e-02,Yes,171,0.052 (0.033),1.16e-01,2.55e-01,No,-0.338 (0.077) *,1.25e-05,1.41e-04,Yes,1020,0.009 (0.038),8.13e-01,9.53e-01,No,-0.233 (0.08) *,3.78e-03,8.29e-03,Yes,736
cortical_thickness,CTQ_Abuse,female,L_insula_thickavg,0.102 (0.078),1.95e-01,6.68e-01,No,0.472 (0.17) *,5.99e-03,2.04e-02,Yes,171,-0.057 (0.033),8.26e-02,2.05e-01,No,0.181 (0.077) *,1.97e-02,4.19e-02,Yes,1020,0.01 (0.038),7.99e-01,9.53e-01,No,0.313 (0.08) *,9.55e-05,4.64e-04,Yes,736
cortical_thickness,CTQ_Abuse,female,R_bankssts_thickavg,0.022 (0.081),7.90e-01,9.90e-01,No,-0.101 (0.176),5.67e-01,6.12e-01,No,171,-0.023 (0.033),4.79e-01,5.91e-01,No,0.141 (0.078),6.99e-02,1.08e-01,No,1020,-0.119 (0.038),1.91e-03,1.30e-01,No,0.144 (0.08),7.31e-02,9.94e-02,No,736
cortical_thickness,CTQ_Abuse,female,R_caudalanteriorcingulate_thickavg,0.075 (0.079),3.44e-01,7.09e-01,No,0.469 (0.17) *,6.56e-03,2.12e-02,Yes,171,-0.038 (0.033),2.53e-01,3.83e-01,No,0.159 (0.078),4.11e-02,7.76e-02,No,1020,0.022 (0.038),5.64e-01,9.32e-01,No,0.156 (0.081),5.25e-02,7.76e-02,No,736
cortical_thickness,CTQ_Abuse,female,R_caudalmiddlefrontal_thickavg,0.0 (0.078),1.00e+00,1.00e+00,No,-0.656 (0.168) *,1.34e-04,7.61e-04,Yes,171,0.023 (0.033),4.94e-01,5.91e-01,No,-0.056 (0.078),4.68e-01,5.40e-01,No,1020,-0.06 (0.038),1.16e-01,8.82e-01,No,-0.126 (0.08),1.18e-01,1.58e-01,No,736
cortical_thickness,CTQ_Abuse,female,R_cuneus_thickavg,0.008 (0.08),9.21e-01,9.97e-01,No,0.439 (0.172) *,1.17e-02,2.95e-02,Yes,171,-0.018 (0.033),5.81e-01,6.59e-01,No,-0.099 (0.078),2.01e-01,2.85e-01,No,1020,0.065 (0.038),8.82e-02,8.82e-01,No,-0.32 (0.08) *,6.70e-05,3.50e-04,Yes,736
cortical_thickness,CTQ_Abuse,female,R_entorhil_thickavg,0.081 (0.081),3.19e-01,7.02e-01,No,0.132 (0.175),4.53e-01,5.31e-01,No,171,-0.046 (0.033),1.59e-01,2.92e-01,No,0.287 (0.077) *,2.13e-04,1.03e-03,Yes,1020,-0.006 (0.038),8.81e-01,9.61e-01,No,0.327 (0.08) *,4.64e-05,3.15e-04,Yes,736
cortical_thickness,CTQ_Abuse,female,R_fusiform_thickavg,0.124 (0.08),1.22e-01,6.68e-01,No,0.307 (0.172),7.61e-02,1.23e-01,No,171,0.044 (0.033),1.88e-01,3.14e-01,No,0.066 (0.078),3.93e-01,4.77e-01,No,1020,0.014 (0.038),7.13e-01,9.32e-01,No,0.254 (0.08) *,1.61e-03,4.05e-03,Yes,736
cortical_thickness,CTQ_Abuse,female,R_inferiorparietal_thickavg,-0.139 (0.08),8.43e-02,6.68e-01,No,0.402 (0.173) *,2.11e-02,4.59e-02,Yes,171,-0.082 (0.033),1.28e-02,7.94e-02,No,0.28 (0.077) *,2.91e-04,1.32e-03,Yes,1020,0.019 (0.038),6.12e-01,9.32e-01,No,0.288 (0.08) *,3.46e-04,1.12e-03,Yes,736
cortical_thickness,CTQ_Abuse,female,R_inferiortemporal_thickavg,-0.119 (0.08),1.37e-01,6.68e-01,No,0.414 (0.173) *,1.78e-02,4.04e-02,Yes,171,-0.033 (0.033),3.13e-01,4.35e-01,No,0.222 (0.077) *,4.14e-03,1.32e-02,Yes,1020,0.018 (0.038),6.40e-01,9.32e-01,No,0.38 (0.079) *,2.04e-06,2.78e-05,Yes,736
cortical_thickness,CTQ_Abuse,female,R_isthmuscingulate_thickavg,-0.038 (0.079),6.37e-01,9.90e-01,No,0.493 (0.172) *,4.64e-03,1.75e-02,Yes,171,-0.039 (0.033),2.39e-01,3.69e-01,No,0.395 (0.077) *,3.03e-07,7.57e-06,Yes,1020,-0.013 (0.038),7.43e-01,9.53e-01,No,0.187 (0.081) *,2.05e-02,3.57e-02,Yes,736
cortical_thickness,CTQ_Abuse,female,R_lateraloccipital_thickavg,0.018 (0.079),8.20e-01,9.90e-01,No,0.543 (0.17) *,1.70e-03,7.69e-03,Yes,171,-0.075 (0.033),2.30e-02,1.03e-01,No,0.224 (0.077) *,3.75e-03,1.32e-02,Yes,1020,0.024 (0.038),5.33e-01,9.32e-01,No,0.305 (0.08) *,1.47e-04,6.65e-04,Yes,736
cortical_thickness,CTQ_Abuse,female,R_lateralorbitofrontal_thickavg,-0.003 (0.08),9.73e-01,1.00e+00,No,0.452 (0.172) *,9.55e-03,2.70e-02,Yes,171,0.042 (0.033),2.01e-01,3.26e-01,No,0.01 (0.078),8.96e-01,9.09e-01,No,1020,-0.022 (0.038),5.64e-01,9.32e-01,No,0.028 (0.081),7.34e-01,7.56e-01,No,736
cortical_thickness,CTQ_Abuse,female,R_lingual_thickavg,0.001 (0.081),9.90e-01,1.00e+00,No,-0.018 (0.176),9.18e-01,9.46e-01,No,171,0.046 (0.033),1.62e-01,2.92e-01,No,-0.206 (0.077) *,7.87e-03,2.14e-02,Yes,1020,0.044 (0.038),2.44e-01,8.82e-01,No,-0.293 (0.08) *,2.78e-04,9.46e-04,Yes,736
cortical_thickness,CTQ_Abuse,female,R_medialorbitofrontal_thickavg,-0.064 (0.076),3.98e-01,7.91e-01,No,0.82 (0.164) *,1.44e-06,2.45e-05,Yes,171,0.077 (0.033),1.99e-02,1.03e-01,No,-0.198 (0.077) *,1.07e-02,2.70e-02,Yes,1020,0.028 (0.038),4.56e-01,9.32e-01,No,-0.294 (0.08) *,2.59e-04,9.26e-04,Yes,736
cortical_thickness,CTQ_Abuse,female,R_middletemporal_thickavg,-0.118 (0.08),1.39e-01,6.68e-01,No,-0.308 (0.172),7.52e-02,1.23e-01,No,171,-0.1 (0.033) *,2.27e-03,3.86e-02,Yes,0.345 (0.077) *,7.93e-06,1.35e-04,Yes,1020,-0.072 (0.038),5.77e-02,8.82e-01,No,0.339 (0.08) *,2.39e-05,2.32e-04,Yes,736
cortical_thickness,CTQ_Abuse,female,R_parahippocampal_thickavg,-0.017 (0.081),8.30e-01,9.90e-01,No,-0.113 (0.176),5.21e-01,6.00e-01,No,171,-0.009 (0.033),7.82e-01,8.13e-01,No,0.147 (0.078),5.87e-02,9.73e-02,No,1020,-0.035 (0.038),3.63e-01,8.82e-01,No,0.3 (0.08) *,1.91e-04,7.64e-04,Yes,736
cortical_thickness,CTQ_Abuse,female,R_paracentral_thickavg,0.002 (0.08),9.75e-01,1.00e+00,No,-0.356 (0.174),4.20e-02,7.71e-02,No,171,0.022 (0.033),5.14e-01,5.93e-01,No,-0.097 (0.078),2.11e-01,2.92e-01,No,1020,-0.044 (0.038),2.55e-01,8.82e-01,No,-0.015 (0.081),8.56e-01,8.68e-01,No,736
cortical_thickness,CTQ_Abuse,female,R_parsopercularis_thickavg,0.075 (0.077),3.30e-01,7.02e-01,No,-0.753 (0.166) *,1.10e-05,8.62e-05,Yes,171,0.091 (0.033),5.67e-03,6.43e-02,No,-0.174 (0.077) *,2.45e-02,4.77e-02,Yes,1020,-0.064 (0.038),9.59e-02,8.82e-01,No,-0.041 (0.081),6.09e-01,6.47e-01,No,736
cortical_thickness,CTQ_Abuse,female,R_parsorbitalis_thickavg,-0.006 (0.08),9.39e-01,9.97e-01,No,-0.421 (0.173) *,1.57e-02,3.67e-02,Yes,171,-0.029 (0.033),3.78e-01,5.04e-01,No,-0.038 (0.078),6.23e-01,6.62e-01,No,1020,-0.063 (0.038),1.00e-01,8.82e-01,No,0.112 (0.081),1.64e-01,2.11e-01,No,736
cortical_thickness,CTQ_Abuse,female,R_parstriangularis_thickavg,0.047 (0.077),5.36e-01,9.11e-01,No,-0.761 (0.166) *,8.40e-06,8.16e-05,Yes,171,0.074 (0.033),2.36e-02,1.03e-01,No,-0.394 (0.077) *,3.34e-07,7.57e-06,Yes,1020,-0.014 (0.038),7.10e-01,9.32e-01,No,-0.233 (0.08) *,3.78e-03,8.29e-03,Yes,736
cortical_thickness,CTQ_Abuse,female,R_pericalcarine_thickavg,-0.103 (0.081),2.04e-01,6.68e-01,No,-0.143 (0.174),4.13e-01,5.02e-01,No,171,0.048 (0.033),1.43e-01,2.84e-01,No,-0.333 (0.077) *,1.70e-05,1.65e-04,Yes,1020,0.037 (0.038),3.29e-01,8.82e-01,No,-0.432 (0.079) *,6.88e-08,4.68e-06,Yes,736
cortical_thickness,CTQ_Abuse,female,R_postcentral_thickavg,-0.15 (0.081),6.49e-02,6.68e-01,No,0.102 (0.174),5.58e-01,6.12e-01,No,171,-0.055 (0.033),9.85e-02,2.31e-01,No,0.008 (0.078),9.15e-01,9.15e-01,No,1020,0.02 (0.038),5.96e-01,9.32e-01,No,-0.155 (0.081),5.41e-02,7.83e-02,No,736
cortical_thickness,CTQ_Abuse,female,R_posteriorcingulate_thickavg,0.055 (0.078),4.79e-01,8.58e-01,No,0.59 (0.168) *,5.86e-04,2.85e-03,Yes,171,-0.022 (0.033),5.04e-01,5.91e-01,No,0.203 (0.077) *,8.78e-03,2.30e-02,Yes,1020,-0.015 (0.038),6.89e-01,9.32e-01,No,0.109 (0.081),1.76e-01,2.17e-01,No,736
cortical_thickness,CTQ_Abuse,female,R_precentral_thickavg,-0.094 (0.08),2.43e-01,6.68e-01,No,-0.273 (0.173),1.16e-01,1.65e-01,No,171,-0.088 (0.033),7.80e-03,7.57e-02,No,0.156 (0.077),4.43e-02,8.14e-02,No,1020,-0.039 (0.038),3.07e-01,8.82e-01,No,0.082 (0.081),3.13e-01,3.60e-01,No,736
cortical_thickness,CTQ_Abuse,female,R_precuneus_thickavg,0.102 (0.081),2.09e-01,6.68e-01,No,-0.008 (0.175),9.64e-01,9.64e-01,No,171,0.068 (0.033),3.94e-02,1.41e-01,No,-0.187 (0.077) *,1.60e-02,3.63e-02,Yes,1020,-0.018 (0.038),6.39e-01,9.32e-01,No,-0.149 (0.081),6.56e-02,9.10e-02,No,736
cortical_thickness,CTQ_Abuse,female,R_rostralanteriorcingulate_thickavg,-0.052 (0.078),5.06e-01,8.83e-01,No,0.615 (0.169) *,3.74e-04,1.95e-03,Yes,171,-0.022 (0.033),5.03e-01,5.91e-01,No,0.179 (0.077) *,2.10e-02,4.33e-02,Yes,1020,-0.026 (0.038),5.01e-01,9.32e-01,No,0.203 (0.08) *,1.18e-02,2.23e-02,Yes,736
cortical_thickness,CTQ_Abuse,female,R_rostralmiddlefrontal_thickavg,-0.013 (0.081),8.68e-01,9.97e-01,No,-0.308 (0.174),7.90e-02,1.25e-01,No,171,0.058 (0.033),7.72e-02,2.05e-01,No,-0.297 (0.077) *,1.26e-04,7.77e-04,Yes,1020,-0.03 (0.038),4.27e-01,9.32e-01,No,-0.345 (0.08) *,1.66e-05,1.89e-04,Yes,736
cortical_thickness,CTQ_Abuse,female,R_superiorfrontal_thickavg,0.192 (0.077),1.41e-02,4.34e-01,No,-0.677 (0.167) *,7.88e-05,4.87e-04,Yes,171,0.121 (0.033) *,2.31e-04,5.23e-03,Yes,-0.308 (0.077) *,6.72e-05,4.57e-04,Yes,1020,-0.031 (0.038),4.21e-01,9.32e-01,No,-0.222 (0.08) *,5.79e-03,1.16e-02,Yes,736
cortical_thickness,CTQ_Abuse,female,R_superiorparietal_thickavg,-0.031 (0.081),7.05e-01,9.90e-01,No,-0.032 (0.176),8.55e-01,9.00e-01,No,171,-0.049 (0.033),1.40e-01,2.84e-01,No,-0.016 (0.078),8.34e-01,8.73e-01,No,1020,0.09 (0.038),1.88e-02,6.41e-01,No,-0.265 (0.08) *,9.99e-04,2.61e-03,Yes,736
cortical_thickness,CTQ_Abuse,female,R_superiortemporal_thickavg,-0.023 (0.079),7.75e-01,9.90e-01,No,-0.466 (0.172) *,7.29e-03,2.25e-02,Yes,171,-0.05 (0.033),1.28e-01,2.73e-01,No,0.143 (0.078),6.57e-02,1.04e-01,No,1020,-0.059 (0.038),1.24e-01,8.82e-01,No,0.168 (0.081),3.73e-02,6.04e-02,No,736
cortical_thickness,CTQ_Abuse,female,R_supramargil_thickavg,-0.185 (0.078),1.92e-02,4.34e-01,No,-0.355 (0.169),3.72e-02,7.03e-02,No,171,-0.072 (0.033),2.97e-02,1.19e-01,No,0.191 (0.077) *,1.36e-02,3.31e-02,Yes,1020,-0.035 (0.038),3.62e-01,8.82e-01,No,0.165 (0.081),4.06e-02,6.28e-02,No,736
cortical_thickness,CTQ_Abuse,female,R_frontalpole_thickavg,-0.096 (0.079),2.30e-01,6.68e-01,No,0.494 (0.172) *,4.61e-03,1.75e-02,Yes,171,0.069 (0.033),3.80e-02,1.41e-01,No,0.042 (0.077),5.86e-01,6.33e-01,No,1020,-0.054 (0.038),1.61e-01,8.82e-01,No,-0.003 (0.081),9.70e-01,9.70e-01,No,736
cortical_thickness,CTQ_Abuse,female,R_temporalpole_thickavg,0.126 (0.08),1.19e-01,6.68e-01,No,0.136 (0.174),4.36e-01,5.20e-01,No,171,-0.009 (0.033),7.81e-01,8.13e-01,No,0.067 (0.078),3.88e-01,4.77e-01,No,1020,-0.008 (0.038),8.27e-01,9.53e-01,No,0.282 (0.08) *,4.62e-04,1.43e-03,Yes,736
