phenotype_names,CTQ_Term,Sex,Region,Effect_Size_Ped,p_value_Ped,q_value_Ped,Significant_Ped,Sample_Size_Ped,Effect_Size_YA,p_value_YA,q_value_YA,Significant_YA,Sample_Size_YA,Effect_Size_OA,p_value_OA,q_value_OA,Significant_OA,Sample_Size_OA,Beta_Ped,Beta_YA,Beta_OA,Sex_Comparison_p,Stronger_Sex,Age_Comparison_p,Stronger_Age,Sex_Comparison_p_YA,Stronger_Sex_YA,Sex_Comparison_p_OA,Stronger_Sex_OA
cortical_thickness,CTQ_Abuse,female,L_paracentral_thickavg,0.032 (0.073),0.663,0.978,No,189,0.045 (0.029),0.126,0.302,No,1163,0.018 (0.034),0.601,0.756,No,864,0.032,0.045,0.018,,,0.5479373440388617,YA,0.6246705779910864,female,0.9702589493443958,male
cortical_thickness,CTQ_Abuse,female,L_parsopercularis_thickavg,-0.085 (0.073),0.247,0.867,No,189,-0.009 (0.029),0.761,0.925,No,1163,-0.002 (0.034),0.962,0.967,No,864,-0.085,-0.009,-0.002,,,0.8763339846290106,YA,0.092312705,male,0.5633255603961946,male
cortical_thickness,CTQ_Abuse,female,L_parsorbitalis_thickavg,0.032 (0.073),0.66,0.978,No,189,-0.035 (0.029),0.237,0.416,No,1163,0.079 (0.034),0.0203,0.0984,No,864,0.032,-0.035,0.079,,,0.011140786948843795,OA,0.609902938,female,0.022783766451154763,female
cortical_thickness,CTQ_Abuse,female,L_parstriangularis_thickavg,-0.094 (0.073),0.2,0.867,No,189,0.035 (0.029),0.239,0.416,No,1163,0.051 (0.034),0.138,0.302,No,864,-0.094,0.035,0.051,,,0.7215761723088605,OA,0.19481399493991725,female,0.9107689541312332,female
cortical_thickness,CTQ_Abuse,female,L_pericalcarine_thickavg,0.056 (0.073),0.442,0.931,No,189,0.004 (0.029),0.904,0.946,No,1163,-0.051 (0.034),0.136,0.302,No,864,0.056,0.004,-0.051,,,0.22108151255068131,OA,0.7660903257494611,male,0.21151984191267226,female
cortical_thickness,CTQ_Abuse,female,L_postcentral_thickavg,-0.116 (0.073),0.112,0.741,No,189,-0.033 (0.029),0.267,0.443,No,1163,0.026 (0.034),0.438,0.62,No,864,-0.116,-0.033,0.026,,,0.18952324632179884,YA,0.7337323327040286,female,0.6954691485290367,female
cortical_thickness,CTQ_Abuse,female,L_posteriorcingulate_thickavg,-0.019 (0.073),0.798,0.978,No,189,-0.124 (0.029) *,2.28e-05,0.00155,Yes,1163,-0.166 (0.034) *,9.57e-07,6.5e-05,Yes,864,-0.019,-0.124,-0.166,,,0.3401419525287075,OA,0.35577134763642837,female,0.056220793,female
cortical_thickness,CTQ_Abuse,female,L_precentral_thickavg,-0.123 (0.073),0.0912,0.741,No,189,-0.015 (0.029),0.616,0.821,No,1163,-0.009 (0.034),0.801,0.873,No,864,-0.123,-0.015,-0.009,,,0.8938754224777237,YA,0.36021104616446165,male,0.8375483617753126,male
cortical_thickness,CTQ_Abuse,female,L_precuneus_thickavg,0.003 (0.073),0.967,0.982,No,189,0.004 (0.029),0.904,0.946,No,1163,-0.062 (0.034),0.0707,0.2,No,864,0.003,0.004,-0.062,,,0.14183890233699148,OA,0.44407530743447277,male,0.8958594424543171,female
cortical_thickness,CTQ_Abuse,female,L_rostralanteriorcingulate_thickavg,0.127 (0.073),0.0809,0.741,No,189,-0.066 (0.029),0.0246,0.111,No,1163,-0.008 (0.034),0.822,0.873,No,864,0.127,-0.066,-0.008,,,0.19653181730816316,YA,0.46894759567530797,female,0.8085402423797401,male
cortical_thickness,CTQ_Abuse,female,L_rostralmiddlefrontal_thickavg,-0.061 (0.073),0.408,0.931,No,189,0.05 (0.029),0.0886,0.265,No,1163,-0.013 (0.034),0.7,0.815,No,864,-0.061,0.05,-0.013,,,0.1610766863393014,YA,0.7334400444797149,female,0.8085717867271316,female
cortical_thickness,CTQ_Abuse,female,L_superiorfrontal_thickavg,0.114 (0.073),0.12,0.741,No,189,0.062 (0.029),0.0331,0.132,No,1163,-0.014 (0.034),0.68,0.812,No,864,0.114,0.062,-0.014,,,0.090779254,YA,0.31718641762079436,female,0.5885813344681887,male
cortical_thickness,CTQ_Abuse,female,L_superiorparietal_thickavg,0.022 (0.073),0.767,0.978,No,189,0.021 (0.029),0.469,0.694,No,1163,-0.017 (0.034),0.62,0.766,No,864,0.022,0.021,-0.017,,,0.3981887190207849,YA,0.4186523728833964,male,0.12606314167906074,male
cortical_thickness,CTQ_Abuse,female,L_superiortemporal_thickavg,0.009 (0.073),0.898,0.982,No,189,0.077 (0.029),0.0088,0.0539,No,1163,0.013 (0.034),0.707,0.815,No,864,0.009,0.077,0.013,,,0.15383231489759064,YA,0.041056036107816274,female,0.9109509872137178,male
cortical_thickness,CTQ_Abuse,female,L_supramargil_thickavg,-0.119 (0.073),0.102,0.741,No,189,-0.01 (0.029),0.727,0.898,No,1163,-0.097 (0.034) *,0.0045,0.0278,Yes,864,-0.119,-0.01,-0.097,,,0.052277752329191296,OA,0.30715369308559826,male,0.2857462238954698,female
cortical_thickness,CTQ_Abuse,female,L_frontalpole_thickavg,0.087 (0.073),0.236,0.867,No,189,0.029 (0.029),0.325,0.526,No,1163,-0.035 (0.034),0.302,0.525,No,864,0.087,0.029,-0.035,,,0.15466520061733124,OA,0.5805487662388273,female,0.5021394315744625,female
cortical_thickness,CTQ_Abuse,female,L_temporalpole_thickavg,0.078 (0.073),0.288,0.867,No,189,0.005 (0.029),0.869,0.946,No,1163,0.047 (0.034),0.168,0.345,No,864,0.078,0.005,0.047,,,0.35007360507320584,OA,0.9322689123674572,male,0.9702010558486764,male
cortical_thickness,CTQ_Abuse,female,L_transversetemporal_thickavg,0.142 (0.072),0.0515,0.741,No,189,0.044 (0.029),0.131,0.302,No,1163,0.008 (0.034),0.819,0.873,No,864,0.142,0.044,0.008,,,0.42317633,YA,0.6391683628585401,male,0.4556157077013778,male
cortical_thickness,CTQ_Abuse,female,L_insula_thickavg,0.085 (0.073),0.244,0.867,No,189,-0.083 (0.029) *,0.00467,0.0353,Yes,1163,0.015 (0.034),0.662,0.804,No,864,0.085,-0.083,0.015,,,0.029046157168554076,YA,0.6537545727751188,female,0.21841351112278096,male
cortical_thickness,CTQ_Abuse,female,R_bankssts_thickavg,-0.014 (0.073),0.848,0.978,No,189,-0.039 (0.029),0.187,0.358,No,1163,-0.068 (0.034),0.046,0.142,No,864,-0.014,-0.039,-0.068,,,0.5179049005149365,OA,0.014388478596589982,male,0.35695191963018447,male
cortical_thickness,CTQ_Abuse,female,R_caudalanteriorcingulate_thickavg,0.071 (0.073),0.334,0.873,No,189,-0.09 (0.029) *,0.00202,0.0197,Yes,1163,-0.035 (0.034),0.309,0.525,No,864,0.071,-0.09,-0.035,,,0.2195285005261245,YA,0.073470294,female,0.695364925,female
cortical_thickness,CTQ_Abuse,female,R_caudalmiddlefrontal_thickavg,-0.033 (0.073),0.651,0.978,No,189,-0.044 (0.029),0.137,0.302,No,1163,-0.107 (0.034) *,0.00171,0.0194,Yes,864,-0.033,-0.044,-0.107,,,0.15882798629383355,OA,0.9152148117895831,male,0.6928213906661593,female
cortical_thickness,CTQ_Abuse,female,R_cuneus_thickavg,0.075 (0.073),0.306,0.867,No,189,-0.022 (0.029),0.459,0.693,No,1163,-0.007 (0.034),0.846,0.885,No,864,0.075,-0.022,-0.007,,,0.7387323693257726,YA,0.4072593122202326,female,0.7372926029896987,male
cortical_thickness,CTQ_Abuse,female,R_entorhil_thickavg,0.059 (0.073),0.419,0.931,No,189,-0.114 (0.029) *,9.69e-05,0.0022,Yes,1163,-0.054 (0.034),0.114,0.292,No,864,0.059,-0.114,-0.054,,,0.17903882002258675,YA,0.5337069847852449,female,0.750894359,female
cortical_thickness,CTQ_Abuse,female,R_fusiform_thickavg,0.108 (0.073),0.138,0.783,No,189,0.049 (0.029),0.0947,0.265,No,1163,0.043 (0.034),0.212,0.389,No,864,0.108,0.049,0.043,,,0.8936669426948018,YA,0.6549784978024964,female,0.3688172965512262,male
cortical_thickness,CTQ_Abuse,female,R_inferiorparietal_thickavg,-0.065 (0.073),0.373,0.931,No,189,-0.012 (0.029),0.675,0.866,No,1163,0.031 (0.034),0.368,0.565,No,864,-0.065,-0.012,0.031,,,0.339000908,OA,0.2417255512114611,male,0.1983234523609998,male
cortical_thickness,CTQ_Abuse,female,R_inferiortemporal_thickavg,0.015 (0.073),0.843,0.978,No,189,-0.001 (0.029),0.985,0.985,No,1163,0.073 (0.034),0.0317,0.114,No,864,0.015,-0.001,0.073,,,0.099364564,OA,0.5952187684743975,male,0.9701148278253633,female
cortical_thickness,CTQ_Abuse,female,R_isthmuscingulate_thickavg,-0.027 (0.073),0.712,0.978,No,189,-0.058 (0.029),0.0488,0.184,No,1163,-0.091 (0.034) *,0.0074,0.042,Yes,864,-0.027,-0.058,-0.091,,,0.46065624902695657,OA,0.1987420546227403,male,0.24607970754527653,female
cortical_thickness,CTQ_Abuse,female,R_lateraloccipital_thickavg,0.061 (0.073),0.407,0.931,No,189,-0.049 (0.029),0.0966,0.265,No,1163,0.048 (0.034),0.162,0.345,No,864,0.061,-0.049,0.048,,,0.030924475793301154,YA,0.11083498217787358,female,0.6408663399918761,female
cortical_thickness,CTQ_Abuse,female,R_lateralorbitofrontal_thickavg,0.049 (0.073),0.499,0.931,No,189,0.015 (0.029),0.61,0.821,No,1163,0.045 (0.034),0.189,0.366,No,864,0.049,0.015,0.045,,,0.5044124119075071,OA,0.006551581,male,0.5505916588064184,female
cortical_thickness,CTQ_Abuse,female,R_lingual_thickavg,0.042 (0.073),0.568,0.978,No,189,-0.022 (0.029),0.452,0.693,No,1163,-0.086 (0.034),0.0118,0.062,No,864,0.042,-0.022,-0.086,,,0.15346422502677903,OA,0.16707431437083908,male,0.561497315,female
cortical_thickness,CTQ_Abuse,female,R_medialorbitofrontal_thickavg,0.015 (0.073),0.84,0.978,No,189,0.087 (0.029) *,0.00295,0.0251,Yes,1163,0.104 (0.034) *,0.00219,0.0203,Yes,864,0.015,0.087,0.104,,,0.7029027877531608,OA,0.03561737,male,0.9699510393204387,female
cortical_thickness,CTQ_Abuse,female,R_middletemporal_thickavg,-0.104 (0.073),0.156,0.814,No,189,-0.1 (0.029) *,0.000634,0.00862,Yes,1163,-0.023 (0.034),0.492,0.669,No,864,-0.104,-0.1,-0.023,,,0.08559506,YA,0.16623345606364004,male,0.8961745674083557,female
cortical_thickness,CTQ_Abuse,female,R_parahippocampal_thickavg,0.004 (0.073),0.962,0.982,No,189,-0.071 (0.029),0.0154,0.0803,No,1163,-0.074 (0.034),0.0292,0.114,No,864,0.004,-0.071,-0.074,,,0.9465469372884998,OA,0.004353302,female,0.2545996900891665,female
cortical_thickness,CTQ_Abuse,female,R_paracentral_thickavg,-0.038 (0.073),0.608,0.978,No,189,0.048 (0.029),0.104,0.271,No,1163,-0.019 (0.034),0.577,0.755,No,864,-0.038,0.048,-0.019,,,0.13614307512215396,YA,0.4068808169586766,female,0.538034494,male
cortical_thickness,CTQ_Abuse,female,R_parsopercularis_thickavg,-0.051 (0.073),0.484,0.931,No,189,-0.002 (0.029),0.954,0.968,No,1163,-0.07 (0.034),0.0398,0.129,No,864,-0.051,-0.002,-0.07,,,0.1299708644532127,OA,0.34951057226679216,male,0.6535961231563099,female
cortical_thickness,CTQ_Abuse,female,R_parsorbitalis_thickavg,-0.048 (0.073),0.51,0.931,No,189,-0.034 (0.029),0.248,0.422,No,1163,0.03 (0.034),0.382,0.565,No,864,-0.048,-0.034,0.03,,,0.15466726635971773,YA,0.026941959514146685,male,0.5141468138414436,female
cortical_thickness,CTQ_Abuse,female,R_parstriangularis_thickavg,-0.008 (0.073),0.913,0.982,No,189,-0.008 (0.029),0.792,0.945,No,1163,0.024 (0.034),0.473,0.656,No,864,-0.008,-0.008,0.024,,,0.47678727951058475,OA,0.20202800527143494,male,0.9851240488808071,female
cortical_thickness,CTQ_Abuse,female,R_pericalcarine_thickavg,-0.008 (0.073),0.913,0.982,No,189,-0.017 (0.029),0.553,0.783,No,1163,-0.075 (0.034),0.0267,0.114,No,864,-0.008,-0.017,-0.075,,,0.19619652712772973,OA,0.14142558293368035,male,0.43240844394628253,female
cortical_thickness,CTQ_Abuse,female,R_postcentral_thickavg,-0.038 (0.073),0.602,0.978,No,189,-0.011 (0.029),0.707,0.89,No,1163,0.033 (0.034),0.337,0.553,No,864,-0.038,-0.011,0.033,,,0.32786948663402904,OA,0.19405283714794552,male,0.4447108608374859,female
cortical_thickness,CTQ_Abuse,female,R_posteriorcingulate_thickavg,0.038 (0.073),0.603,0.978,No,189,-0.049 (0.029),0.0975,0.265,No,1163,-0.103 (0.034) *,0.00239,0.0203,Yes,864,0.038,-0.049,-0.103,,,0.2271557075564581,OA,0.45660744689211885,female,0.23048759403771957,female
cortical_thickness,CTQ_Abuse,female,R_precentral_thickavg,-0.128 (0.073),0.0795,0.741,No,189,-0.044 (0.029),0.138,0.302,No,1163,-0.071 (0.034),0.0367,0.125,No,864,-0.128,-0.044,-0.071,,,0.5470082375478587,OA,0.8479997260469601,male,0.13542770124418935,female
cortical_thickness,CTQ_Abuse,female,R_precuneus_thickavg,0.016 (0.073),0.829,0.978,No,189,0.064 (0.029),0.0286,0.121,No,1163,-0.038 (0.034),0.264,0.472,No,864,0.016,0.064,-0.038,,,0.023216334609579725,YA,0.5638315516010857,male,0.15649932031658542,equal
cortical_thickness,CTQ_Abuse,female,R_rostralanteriorcingulate_thickavg,-0.051 (0.073),0.484,0.931,No,189,-0.041 (0.029),0.16,0.333,No,1163,0.028 (0.034),0.405,0.586,No,864,-0.051,-0.041,0.028,,,0.12488898127244674,YA,0.2783335348711229,female,0.7654848617912258,female
cortical_thickness,CTQ_Abuse,female,R_rostralmiddlefrontal_thickavg,-0.003 (0.073),0.967,0.982,No,189,0.041 (0.029),0.162,0.333,No,1163,-0.009 (0.034),0.79,0.873,No,864,-0.003,0.041,-0.009,,,0.26612225031681414,YA,0.5795392156212131,male,0.8085346083775857,male
cortical_thickness,CTQ_Abuse,female,R_superiorfrontal_thickavg,0.087 (0.073),0.234,0.867,No,189,0.039 (0.029),0.189,0.358,No,1163,-0.044 (0.034),0.199,0.377,No,864,0.087,0.039,-0.044,,,0.064863795,OA,0.8648670803211829,female,0.5494882099542684,male
cortical_thickness,CTQ_Abuse,female,R_superiorparietal_thickavg,-0.018 (0.073),0.809,0.978,No,189,0.054 (0.029),0.0655,0.223,No,1163,0.03 (0.034),0.377,0.565,No,864,-0.018,0.054,0.03,,,0.5929967138658114,YA,0.9151733133893614,female,0.2238084589830205,male
cortical_thickness,CTQ_Abuse,female,R_superiortemporal_thickavg,-0.071 (0.073),0.334,0.873,No,189,-0.02 (0.029),0.49,0.71,No,1163,-0.053 (0.034),0.12,0.292,No,864,-0.071,-0.02,-0.053,,,0.46255316783158196,OA,0.24139691759161064,male,0.627453212,female
cortical_thickness,CTQ_Abuse,female,R_supramargil_thickavg,-0.156 (0.072),0.032,0.741,No,189,-0.046 (0.029),0.118,0.298,No,1163,-0.059 (0.034),0.0812,0.221,No,864,-0.156,-0.046,-0.059,,,0.7719706452991897,OA,0.099230583,male,0.970162315,male
cortical_thickness,CTQ_Abuse,female,R_frontalpole_thickavg,-0.022 (0.073),0.764,0.978,No,189,0.068 (0.029),0.0196,0.095,No,1163,-0.021 (0.034),0.546,0.729,No,864,-0.022,0.068,-0.021,,,0.047601218,YA,1,equal,0.46731195530527936,female
cortical_thickness,CTQ_Abuse,female,R_temporalpole_thickavg,0.124 (0.073),0.0904,0.741,No,189,-0.039 (0.029),0.189,0.358,No,1163,0.031 (0.034),0.369,0.565,No,864,0.124,-0.039,0.031,,,0.11952051017313314,YA,0.7985378809122343,female,0.6540877332546733,male
cortical_thickness,CTQ_Abuse,female,R_transversetemporal_thickavg,-0.006 (0.073),0.93,0.982,No,189,0.051 (0.029),0.0797,0.258,No,1163,0.064 (0.034),0.0617,0.183,No,864,-0.006,0.051,0.064,,,0.7718482905716546,OA,0.5645546731404854,male,0.8079570772807618,female
cortical_thickness,CTQ_Abuse,female,R_insula_thickavg,-0.023 (0.073),0.756,0.978,No,189,-0.014 (0.029),0.634,0.829,No,1163,0.032 (0.034),0.341,0.553,No,864,-0.023,-0.014,0.032,,,0.3063730883814837,OA,0.41889057990360756,male,0.6278800206711264,female
cortical_thickness,CTQ_Abuse,male,L_bankssts_thickavg,-0.057 (0.08),0.474,0.836,No,159,-0.063 (0.037),0.0874,0.222,No,742,-0.037 (0.041),0.368,0.708,No,585,-0.057,-0.063,-0.037,,,0.6381077869396163,YA,0.1603043758532814,male,0.30523235177591324,male
cortical_thickness,CTQ_Abuse,male,L_caudalanteriorcingulate_thickavg,0.147 (0.079),0.0639,0.614,No,159,-0.048 (0.037),0.193,0.346,No,742,-0.04 (0.041),0.331,0.708,No,585,0.147,-0.048,-0.04,,,0.8850009451758805,YA,0.14563416217395142,female,0.083905435,female
cortical_thickness,CTQ_Abuse,male,L_caudalmiddlefrontal_thickavg,0.095 (0.079),0.235,0.754,No,159,-0.029 (0.037),0.436,0.621,No,742,-0.047 (0.041),0.253,0.689,No,585,0.095,-0.029,-0.047,,,0.7449766297540099,OA,0.2511345396891218,male,0.46697578818331165,male
cortical_thickness,CTQ_Abuse,male,L_cuneus_thickavg,-0.058 (0.08),0.471,0.836,No,159,0.044 (0.037),0.227,0.386,No,742,-0.027 (0.041),0.513,0.845,No,585,-0.058,0.044,-0.027,,,0.19992900249277534,YA,0.4191067351857245,male,0.7229278768366145,female
cortical_thickness,CTQ_Abuse,male,L_entorhil_thickavg,0.083 (0.08),0.296,0.773,No,159,-0.028 (0.037),0.44,0.621,No,742,0.009 (0.041),0.827,0.913,No,585,0.083,-0.028,0.009,,,0.5042844488719989,YA,0.2866289615664823,female,0.9257611671725341,male
cortical_thickness,CTQ_Abuse,male,L_fusiform_thickavg,0.058 (0.08),0.47,0.836,No,159,0.08 (0.037),0.0294,0.117,No,742,0.095 (0.041),0.021,0.275,No,585,0.058,0.08,0.095,,,0.7850429234446763,OA,0.11023638068107844,male,0.4312237194154802,male
cortical_thickness,CTQ_Abuse,male,L_inferiorparietal_thickavg,0.073 (0.08),0.362,0.818,No,159,-0.001 (0.037),0.981,0.981,No,742,-0.074 (0.041),0.0733,0.453,No,585,0.073,-0.001,-0.074,,,0.18694997904373523,OA,0.045146994970636234,female,0.9850492926103547,female
cortical_thickness,CTQ_Abuse,male,L_inferiortemporal_thickavg,0.039 (0.08),0.624,0.839,No,159,0.013 (0.037),0.731,0.815,No,742,0.077 (0.041),0.0612,0.442,No,585,0.039,0.013,0.077,,,0.24704481926599486,OA,0.8650202047371729,male,0.6933080443685817,female
cortical_thickness,CTQ_Abuse,male,L_isthmuscingulate_thickavg,-0.019 (0.08),0.813,0.92,No,159,-0.13 (0.036) *,0.000368,0.00357,Yes,742,-0.017 (0.041),0.683,0.883,No,585,-0.019,-0.13,-0.017,,,0.040141501,YA,0.5608442293488207,male,0.039143961618154366,female
cortical_thickness,CTQ_Abuse,male,L_lateraloccipital_thickavg,0.008 (0.08),0.917,0.937,No,159,-0.114 (0.037) *,0.00194,0.0132,Yes,742,-0.066 (0.041),0.11,0.531,No,585,0.008,-0.114,-0.066,,,0.38246777658126163,YA,0.41517254131895687,male,0.43025197670614634,female
cortical_thickness,CTQ_Abuse,male,L_lateralorbitofrontal_thickavg,-0.048 (0.08),0.547,0.836,No,159,0.152 (0.036) *,3.4e-05,0.000578,Yes,742,-0.016 (0.041),0.707,0.883,No,585,-0.048,0.152,-0.016,,,0.00226692,YA,0.000299276,male,0.7513795639667675,male
cortical_thickness,CTQ_Abuse,male,L_lingual_thickavg,-0.101 (0.079),0.203,0.754,No,159,0.026 (0.037),0.48,0.621,No,742,-0.092 (0.041),0.0259,0.275,No,585,-0.101,0.026,-0.092,,,0.032842559715616115,OA,0.5237849249013966,male,0.8952640171308492,female
cortical_thickness,CTQ_Abuse,male,L_medialorbitofrontal_thickavg,0.097 (0.079),0.224,0.754,No,159,0.132 (0.036) *,0.000315,0.00357,Yes,742,0.107 (0.041),0.0094,0.275,No,585,0.097,0.132,0.107,,,0.6471965967352826,YA,0.10769519087956914,male,1,equal
cortical_thickness,CTQ_Abuse,male,L_middletemporal_thickavg,-0.084 (0.08),0.294,0.773,No,159,-0.052 (0.037),0.159,0.309,No,742,0.014 (0.041),0.73,0.883,No,585,-0.084,-0.052,0.014,,,0.2333529418187461,YA,0.3175113306984545,male,0.27051669894420316,female
cortical_thickness,CTQ_Abuse,male,L_parahippocampal_thickavg,0.021 (0.08),0.793,0.92,No,159,0.081 (0.037),0.0282,0.117,No,742,-0.035 (0.041),0.402,0.735,No,585,0.021,0.081,-0.035,,,0.036031776,YA,0.013561087807525851,male,0.765154383,female
cortical_thickness,CTQ_Abuse,male,L_paracentral_thickavg,0.025 (0.08),0.75,0.92,No,159,0.022 (0.037),0.55,0.693,No,742,0.02 (0.041),0.634,0.883,No,585,0.025,0.022,0.02,,,0.9711995197681784,YA,0.6246705779910864,female,0.9702589493443958,male
cortical_thickness,CTQ_Abuse,male,L_parsopercularis_thickavg,-0.071 (0.08),0.373,0.818,No,159,-0.088 (0.037),0.0171,0.097,No,742,-0.033 (0.041),0.42,0.735,No,585,-0.071,-0.088,-0.033,,,0.31909444436143986,YA,0.092312705,male,0.5633255603961946,male
cortical_thickness,CTQ_Abuse,male,L_parsorbitalis_thickavg,0.053 (0.08),0.508,0.836,No,159,-0.011 (0.037),0.762,0.836,No,742,-0.043 (0.041),0.304,0.708,No,585,0.053,-0.011,-0.043,,,0.563346458,OA,0.609902938,female,0.022783766451154763,female
cortical_thickness,CTQ_Abuse,male,L_parstriangularis_thickavg,0.113 (0.079),0.156,0.754,No,159,-0.026 (0.037),0.479,0.621,No,742,0.045 (0.041),0.276,0.694,No,585,0.113,-0.026,0.045,,,0.19992088889864545,OA,0.19481399493991725,female,0.9107689541312332,female
cortical_thickness,CTQ_Abuse,male,L_pericalcarine_thickavg,-0.039 (0.08),0.629,0.839,No,159,0.018 (0.037),0.627,0.76,No,742,0.016 (0.041),0.691,0.883,No,585,-0.039,0.018,0.016,,,0.9712038968121159,YA,0.7660903257494611,male,0.21151984191267226,female
cortical_thickness,CTQ_Abuse,male,L_postcentral_thickavg,-0.142 (0.079),0.0747,0.614,No,159,-0.017 (0.037),0.637,0.76,No,742,0.005 (0.041),0.908,0.936,No,585,-0.142,-0.017,0.005,,,0.6913690566787223,YA,0.7337323327040286,female,0.6954691485290367,female
